row_id,Biofluid,Metabolic_traits,Platform,Study_population,N_Traits,Cohort_size,N_Loci,Reference,Ref_URLs
68,Plasma,Non-targeted MS,Broad institute,Chronic Renal Insufficiency Cohort (CRIC) Study (822 White and 687 Black study participants),537,1678,45 mQTL at 19 loci,"Rhee et al. (Kidney Intl, 2022)",https://doi.org/10.1016/j.kint.2022.01.014
69,Plasma,Non-targeted MS,Metabolon HD4,"Men from the late-settlement region of Finland, bottle-necked population","1,391","6,136",303 novel association signals,"Yin et al. (Nat. Comms 2022), medRxiv 2021",https://www.nature.com/articles/s41467-022-29143-5 ; https://www.medrxiv.org/content/10.1101/2021.10.19.21265094v1
70,Serum,LC-MS,in-house,Korea Association REsource (KARE) project,64 (53 with pathway information),627,"32 (17 with glycine, 15 with dimethylglycine)","Jung et al. (Front. Genet., 2022)",https://www.frontiersin.org/articles/10.3389/fgene.2022.814412/full
71,Plasma,NMR,Nightingale platform (limited to 16 selected metabolites),UK Biobank,16,"94,464",213,"Smith et al., bioRxiv 2022",https://www.biorxiv.org/content/10.1101/2022.04.02.486791v1
72,Plasma,Non-targeted MS,Metabolon HD4,Interval study,995,"2,805 WGS + 3,924 WES",40 novel associations implicating rare coding variants,"Bomba et al., AJHG 2022",https://www.sciencedirect.com/science/article/pii/S0002929722001574
73,Plasma,Non-targeted MS,"Metabolon HD4, limited to acetaminophen metabolites",Qatar Biobank,9 acetaminophen metabolites and 36 ratios between them,520,2,"Thareja et al., Metabolites, 2022",https://www.mdpi.com/2218-1989/12/6/496
74,Plasma,"Lipoprotein lipids and subclasses, fatty acids, amino acids, glycolysis precursors",NMR (Nightingale),UK Biobank (white British UKB sub-population),"168 traits + >14,000 ratios","98,698","215 (out of 892 tested lipid risk loci, this is not a GWAS)","Suhre et al., medRxiv 2022",https://www.medrxiv.org/content/10.1101/2022.06.12.22276286v1
75,Serum,Targeted MS with Whole Exome Sequencing,Biocrates p180,Alpine CHRIS Cohort,175,5505,85,"König et al., Metabolites 2022",https://www.mdpi.com/2218-1989/12/7/604
76,Plasma,fourteen PUFA and MUFA phenotypes,NMR (Nightingale),UK Biobank + replication ion two external European studies,14,"101,729",51,"Francis et al., medRxiv 2022",https://www.medrxiv.org/content/10.1101/2022.05.27.22275343v2
77,Blood,"Lipoprotein lipids and subclasses, fatty acids, amino acids, glycolysis precursors",NMR (Nightingale),33 predominantly population-based cohorts,233,"136,016",>400,"Karjalainen et al., medRxiv 2022",https://www.medrxiv.org/content/10.1101/2022.10.20.22281089v1
78,Plasma,Non-targeted MS,Metabolon HD4,Interval & EPIC Norfolk,913,"14,296",423,"Surendran et al., Nature Medicine 2022",https://www.nature.com/articles/s41591-022-02046-0
79,Plasma,Warfarin metabolites,HPLC-MS/MS,"sub- Saharan black African population (South Africa, Uganda)",13,548,373 unique SNPs in 13 genes,"Asiimwe et al., Frontiers Pharmacology, 2022",https://www.frontiersin.org/articles/10.3389/fphar.2022.967082/full
80,Plasma,Targeted MS,GC-MS,Japanese,121,"4,888",60,"Iwasaki et al., iScience 2023",https://www.cell.com/iscience/fulltext/S2589-0042(22)02011-9
81,Plasma,Non-targeted MS,Metabolon HD4,Canadian Longitudinal Study of Aging (CLSA),"1,091 + 309 ratios","8,299","1,509","Chen et al., Nature Genetics 2023",https://www.nature.com/articles/s41588-022-01270-1
82,Plasma,Non-targeted MS,Uses two LC-MS methods on an Agilent system & whole genome sequencing,Black individuals from the Jackson Heart Study,"2,291 metabolite peaks","2,466",519,"Tahir et al., Nature Comms 2022",https://www.nature.com/articles/s41467-022-32275-3
83,Red blood cells (RBC),UHPLC-MS,in-house,Donors at REDS-III US blood centers,382,243,423,"Moore et al., JBC 2022",https://www.jbc.org/article/S0021-9258(22)01149-8/fulltext
84,Skeletal muscle (duck),Non-targeted MS,LC–MS/MS and SPME-GC-HRMS,Pekin duck × Liancheng duck crosses,3431 metabolites and 702 volatiles,423,"2,862 signals","Liu et al., Advanced Science 2023",https://onlinelibrary.wiley.com/doi/10.1002/advs.202300148
85,Urine & Plasma,Non-targeted MS,Metabolon HD4,German Chronic Kidney Disease (GCKD) study,"1,916","5,023","1,299","Schlosser et al., Nat. Genet. 2023",https://www.nature.com/articles/s41588-023-01409-8
86,Urine,NMR,600 MHz Bruker AVANCE III HD NMR spectrometer,"3 European cohorts (Generation Scotland, VIKING, FinnDiane)",54,"8,026",52,"Valo et al., medRxiv 2023",https://www.medrxiv.org/content/10.1101/2023.12.20.23300206v1
87,Plasma,four MS/MS assays,"amino acids, hormones, water-soluble vitamins (WSV), fat-soluble vitamins (FSV), and metal elements",Chinese pregnant women,84,"34,394",30 novel metabolite-gene associations,"Liu et al., medRxiv 2023",https://www.medrxiv.org/content/10.1101/2023.11.26.23299022v1
88,Plasma,Mass spectrometry-based shotgun lipidomics,Lipotype GmbH,Finnish individuals from the GeneRISK cohort,179 lipids from 13 lipid classes,"7,174",495 genome-trait associations in 56 genetic loci,"Ottensmann et al., Nat. Comm. 2023",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10618167/
89,Plasma,LC-MS,"plasma eicosanoids and related metabolites, including PUFAs",Atherosclerosis Risk in Communities (ARIC) Study,223,"8,406",41,"Rhee et al., Commun. Biol. 2023",https://www.nature.com/articles/s42003-023-05159-5
90,Cerebrospinal fluid (CSF) and brain,Non-targeted MS,Metabolon HD4,multiple Alzheimer's cohorts,440,"2,602 (CSF) and 1,016 (brain)",219 (CSF) and 36 (brain),"Wang et al., pre-print on Research Square, 2023",https://doi.org/10.21203/rs.3.rs-2923409/v1
91,Red blood cells (RBC),,,Women's Health Initiative Memory study,28 fatty acids,"7,479 women",12,"Westra et al., PLEFA 2023",https://www.plefa.com/article/S0952-3278(23)00046-7/fulltext
92,Serum,NMR,Chenomx,"Critically ill, mechanically ventilated patients with septic shock",20,230,4,"Daubney et al., Crit. Care Expl. 2024",https://journals.lww.com/ccejournal/fulltext/2024/01000/a_genome_wide_association_study_of_serum.9.aspx
93,Predominantly plasma,NMR,Nightingale,Meta-analysis of 33 cohorts with updated quantification version of Nightingale platform,233,"136,016",>400 independent loci,"Karjalainen et al., Nature 2024",https://www.nature.com/articles/s41586-024-07148-y
94,Plasma,NMR,Nightingale,Estonian Biobank and UK Biobank,249,"619,372","89,489 locus-metabolite pairs at 8,917 loci","Tambets et al., medRxiv 2024",https://www.medrxiv.org/content/10.1101/2024.10.15.24315557v2
95,Plasma,NMR,Nightingale,UK Biobank,249,"~450,000","29,824 locus–metabolite associations mapping to 753 regions","Zoodsma et al., medRxiv 2025",https://www.medrxiv.org/content/10.1101/2025.01.30.25321073v1
96,Urine,NMR,Nightingale Health urine NMR platform,3 European cohorts,54,"8,011",26 loci (54 associations for 19 metabolites),"Valo et al., Nat. Comms 2025",https://www.nature.com/articles/s41467-024-55182-1
97,Blood,Non-targeted MS,Metabolon/Broad platform,TOPMed,"up to 1,666","up to 11,840","1985 novel, validated 761 known","Feofanova et al., Nat. Comms 2023",https://www.nature.com/articles/s41467-023-38800-2
98,Blood,Non-targeted MS,Metabolon HD4,NEO and Rhineland Study,224 with 10%-90% missingness,"594 + 4,165",55 associations with missingness,"Faquih et al., medRxiv 2024",https://www.medrxiv.org/content/10.1101/2024.10.02.24314800v3
