pmid,doi,year,journal,source,title,authors,abstract,score
39644095,10.1016/j.xhgg.2024.100390,2025,HGG advances,MED,Genome-wide association study reveals shared and distinct genetic architecture of fatty acids and oxylipins in the Hispanic Community Health Study/Study of Latinos.,"Downie CG, Highland HM, Alotaibi M, Welch BM, Howard AG, Cheng S, Miller N, Jain M, Kaplan RC, Lilly AG, Long T, Sofer T, Thyagarajan B, Yu B, North KE, Avery C","Bioactive fatty acid-derived oxylipin molecules play key roles mediating inflammation and oxidative stress. Circulating levels of fatty acids and oxylipins are influenced by environmental and genetic factors; characterizing the genetic architecture of bioactive lipids could yield new insights into underlying biology. We performed a genome-wide association study (GWAS) of 81 fatty acids and oxylipins in 11,584 Hispanic Community Health Study/Study of Latinos (HCHS/SOL) participants with genetic and lipidomic data measured at study baseline (58.6% female, mean age = 46.1 years (standard deviatio",7
40545721,10.1016/j.xhgg.2025.100470,2025,HGG advances,MED,GWAS and multi-omics integrative analysis reveal novel loci and their molecular mechanisms for circulating fatty acids.,"Sun Y, Xu H, Ye K.","Previous genome-wide association studies (GWAS) have identified genetic loci associated with the circulating levels of fatty acids (FAs), but the biological mechanisms of these genetic associations remain largely unexplored. Here, we conducted GWAS to identify additional genetic loci for 19 circulating FA traits in UK Biobank participants of European ancestry (n = 239,268) and five other ancestries (n = 508-4,663). We leveraged the GWAS findings to characterize genetic correlations and colocalized regions among FAs, explore sex differences, examine FA loci influenced by lipoprotein metabolism,",7
41295283,10.3390/metabo15110697,2025,Metabolites,MED,Metabolite Genome-Wide Association in Hispanics with Obesity Reveals Genetic Risk and Interactions with Dietary Factors for Type 2 Diabetes.,"Lai CQ, Parnell LD, Li Z, Noel SE, Bhupathiraju SN, Tucker KL, Ordovás JM.","<h4>Background</h4>Obesity is a leading cause of type 2 diabetes (T2D), with particularly high prevalence in Hispanic populations residing in the USA. However, how genetic variation influences obesity-related blood metabolite levels which, in turn, contribute to T2D progression, is not well understood. Our goal was to identify and understand genetic and dietary connections between obesity and T2D in a Hispanic cohort of older adults.<h4>Materials and methods</h4>We conducted a genome-wide association study on 13 specific metabolites previously associated with T2D and characteristic of individu",7
41024449,10.1002/oby.70045,2025,"Obesity (Silver Spring, Md.)",MED,Genetic Determinants of Fatty Acid Composition in Subcutaneous and Visceral Adipose Tissue.,"Ahmed A, Naz A, Thanaj M, Sorokin EP, Whitcher B, Bell JD, Thomas EL, Cule M, Yaghootkar H.","<h4>Objective</h4>Fatty acids in adipose tissue are key structural and metabolic regulators of cardiometabolic health, but the genetic architecture governing depot-specific composition in subcutaneous (SAT) and visceral adipose tissue (VAT) is not well defined.<h4>Methods</h4>We used MRI-derived estimates of fatty acid composition in SAT and VAT from 33,583 UK Biobank participants to perform genome-wide association studies. Functional annotation, fine mapping, colocalization, and expression QTL analyses were conducted to prioritize likely causal variants and explore mechanisms.<h4>Results</h4>",7
40595242,10.1038/s41598-025-07518-0,2025,Scientific reports,MED,Meta-analysis of urinary metabolite GWAS studies identifies novel genome-wide significant loci.,"Zaki JK, Tomasik J, McCune JA, Scherman OA, Bahn S.","Genome-wide association studies (GWAS) have substantially enhanced the understanding of genetic influences on phenotypic outcomes; however, realizing their full potential requires an aggregate analysis of numerous studies. Here we represent the first comprehensive meta-analysis of urinary metabolite GWAS studies, aiming to consolidate existing data on metabolite-SNP associations, evaluate consistency across studies, and unravel novel genetic links. Following an extensive literature review and data collection through the EMBL-EBI GWAS Catalog, PubMed, and metabolomix.com, we employed a sample s",7
42069741,10.1038/s41467-026-72542-1,2026,Nature communications,MED,Population-based genome-wide association study of plasma complex lipid species.,"Landstra EN, Imtiaz MA, Talevi V, Eichelmann F, Schulze MB, Aziz NA, Breteler MMB.","The human lipidome comprises numerous complex lipids, dysregulation of which can contribute to the pathogenesis of a wide range of diseases. Despite the high heritability of parts of the lipidome, the genetic architecture of many circulating lipid species and their structure remains mostly unknown. Thus, we perform genome-wide association studies on 970 lipid species and 267 fatty acid composite measures using samples from the population-based Rhineland Study (n = 6096). We validate our findings using corresponding data from two other independent cohorts, including FinnGen (n = 7266) and EPIC-",7
39528826,10.1038/s41588-024-01973-7,2024,Nature genetics,MED,Genetic architecture of cerebrospinal fluid and brain metabolite levels and the genetic colocalization of metabolites with human traits.,"Wang C, Yang C, Western D, Ali M, Wang Y, Phuah CL, Budde J, Wang L, Gorijala P, Timsina J, Ruiz A, Pastor P, Fernandez MV, Dominantly Inherited Alzheimer Netwo","Brain metabolism perturbation can contribute to traits and diseases. We conducted a genome-wide association study for cerebrospinal fluid (CSF) and brain metabolite levels, identifying 205 independent associations (47.3% new signals, containing 11 new loci) for 139 CSF metabolites, and 32 independent associations (43.8% new signals, containing 4 new loci) for 31 brain metabolites. Of these, 96.9% (CSF) and 71.4% (brain) of the new signals belonged to previously analyzed metabolites in blood or urine. We integrated the metabolite quantitative trait loci (MQTLs) with 23 neurological, psychiatric",6
,10.22541/au.173046800.03170735/v1,2024,PPR,PPR,Genome-wide association analysis provides insights into the regulatory mechanism of ω-3 fatty acids in oysters,"Li Q, Cong R, Wang C, Wang W, Zhang G, QI H, LI L.","As climate change impacts marine ecosystems, the production of ω-3 polyunsaturated fatty acids (PUFAs) is significantly declining. To enhance ω-3 PUFA production through genetic approaches, understanding the regulatory mechanisms is essential. Oysters, as representative bivalves, exhibit high levels of PUFAs. Two closely related species, Crassostrea gigas (adapted to cold climates) and Crassostrea angulata (adapted to warm climates), provide an opportunity to investigate the genetic and environmental effects of climate change on oysters and explore the regulatory mechanisms underlying ω-3 fatt",6
40972578,10.1016/j.ajhg.2025.08.022,2025,American journal of human genetics,MED,Genetic architecture and analysis practices of circulating metabolites in the NHLBI Trans-Omics for Precision Medicine Program.,"Wang N, Ockerman FP, Zhou LY, Grove ML, Alkis T, Barnard J, Bowler RP, Clish CB, Chung S, Drzymalla E, Evans AM, Franceschini N, Gerszten RE, Gillman MG, Hutton","Circulating metabolite levels partly reflect the state of human health and diseases and can be impacted by genetic determinants. Hundreds of loci associated with circulating metabolites have been identified; however, most findings focus on predominantly European ancestry or single-study analyses. Leveraging the rich metabolomics resources generated by the National Heart, Lung, and Blood Institute (NHLBI) Trans-Omics for Precision Medicine (TOPMed) Program, we harmonized and accessibly cataloged 1,729 circulating metabolites among 25,058 ancestrally diverse samples. From our comparison of multi",6
39972264,10.1186/s12864-025-11344-z,2025,BMC genomics,MED,Genome-wide association study of fat content and fatty acid composition of shea tree (Vitellaria paradoxa C.F. Gaertn subsp. paradoxa).,"Attikora AJP, Kouassi KA, Yao SDM, Dago DN, Silué S, De Clerck C, Diarrassouba N, Alabi T, Achigan-Dako EG, Fauconnier ML, Danthine S, Lassois L.","<h4>Background</h4>Fat content (FC) and fatty acids (FA) are the most important traits in shea tree breeding, controlled by several genes with relatively small effects. Therefore, determining the genes involved in the biosynthesis of such traits is crucial for improving oil quantity and quality and for the domestication process of the species. To identify the quantitative trait nucleotides (QTNs) controlling FC and FA, we conducted a multi-locus genome-wide association study (GWAS) using six multi-locus GWAS methods for FC and FA in 122 superior shea trees (SSTs). SSTs were genotyped using DAr",6
,10.21203/rs.3.rs-5590960/v1,2025,PPR,PPR,Simulating Metabolic Pathways to Enhance Interpretations of Metabolome Genome-Wide Association Studies,"Kodate S, Sato M, Hishinuma E, Kojima K, Motoike IN, Study Group TST, Koshiba S, Yamamoto M, Yamada KD, Kinoshita K.","<title>Abstract</title> <p>Advancements in large-scale analysis of metabolites in human peripheral blood samples revealed the links between metabolite concentrations and genetic variations. This field is known as metabolome-genome-wide association study (MGWAS). Although MGWAS is a powerful tool, it has some limitations, particularly in terms of the number of metabolites that can be measured. Whether the observed associations are directly due to genetic variation or indirectly due to changes in unmeasured metabolites is unclear. To address this, we used simulations of metabolic pathway models ",6
40215300,10.1126/sciadv.adp4532,2025,Science advances,MED,On the analysis of metabolite quantitative trait loci: Impact of different data transformations and study designs.,"Lee S, Kelly RS, Mendez KM, Prokopenko D, Hahn G, Lutz SM, Celedón JC, Clish CB, Weiss ST, Lange C, Lasky-Su JA, Hecker J, NHLBI Trans-Omics for Precision Medic","Metabolomic genome-wide association studies (mGWASs), or metabolomic quantitative trait locus (metQTL) analyses, are gaining growing attention. However, robust methods and analysis guidelines, vital to address the complexity of metabolomic data, remain to be established. Here, we use whole-genome sequencing and metabolomic data from two independent studies to compare different approaches. We adopted three popular data transformation methods for metabolite levels-(i) log<sub>10</sub> transformation, (ii) rank inverse normal transformation, and (iii) a fully adjusted two-step procedure-and compa",6
40379784,10.1038/s41598-025-01634-7,2025,Scientific reports,MED,Simulating metabolic pathways to enhance interpretations of metabolome genome-wide association studies.,"Kodate S, Sato M, Hishinuma E, Kojima K, Motoike IN, ToMMo Study Group, Koshiba S, Yamamoto M, Yamada KD, Kinoshita K.","Advancements in large-scale analysis of metabolites in human peripheral blood samples revealed the links between metabolite concentrations and genetic variations. This field is known as metabolome-genome-wide association study (MGWAS). Although MGWAS is a powerful tool, it has some limitations, particularly in terms of the number of metabolites that can be measured. Whether the observed associations are directly due to genetic variation or indirectly due to changes in unmeasured metabolites is unclear. To address this, we used simulations of metabolic pathway models to investigate the influenc",6
40113840,10.1038/s41598-025-93415-5,2025,Scientific reports,MED,Genome-wide associations of sweetpotato metabolites enhance genomic prediction and identify genes in metabolic and regulatory pathways.,"Rickman TE, Adams AK, Wadl PA, Yencho GC, Olukolu BA.","Global sweetpotato production is increasing due to its health benefits, including high levels of complex carbohydrates and bioactive compounds. To explore the genetic basis of carbohydrates and carotenoids, we conducted a genome-wide association study (GWAS) using diverse sweetpotato accessions, two decades of phenotypic data, and 252,975 dosage-based SNPs and INDELs. Our findings confirmed a negative correlation between dry matter and β-carotene and identified interconnected metabolic pathways regulating multiple traits. Notably, phytoene synthase, involved in carotene biosynthesis, was assoc",6
39694057,10.1055/a-2504-0903,2025,Thrombosis and haemostasis,MED,Long-Chain Polysaturated Fatty Acid in Atrial Fibrillation-Associated Stroke: Lipidomic-GWAS Study.,"Jung Y, Kim B, Kim CK, Won HH, Chae SH, Oh K, Shin MJ, Hwang GS, Seo WK.","This study aimed to explore the relationship between lipidomic domains, particularly free fatty acids (FFAs), and the presence of atrial fibrillation (AF) in patients with acute stroke, and to identify mechanisms of AF-associated stroke through genetic studies.A total of 483 stroke patients without AF (<i>n</i> = 391) and with AF (<i>n</i> = 92) were selected from a prospectively collected stroke registry. Lipidomic profiling was conducted, and the lipid components associated with AF were explored using fold-change analyses and clustering. Genotyping was conducted through trait comparison. Col",6
41067896,10.12200/j.issn.1003-0034.20241216,2025,Zhongguo gu shang = China journal of orthopaedics and traumatology,MED,[Integrating genomics and metabolomics to reveal the genetic basis and potential therapeutic targets of diabetic foot].,"Zhang Y, Chen C, Li ZD, Zhou HC, Li B, Yang YF.","<h4>Objective</h4>To screen out the key metabolites related to diabetic foot (DF) by integrating genome-wide association studies (GWAS) and metabolome genome-wide association studies (mGWAS).<h4>Methods</h4>The literature databases such as PubMed and China national knowledge infrastructure(CNKI), as well as genomics databases such as PAN UKBB, FinnGen, and IEU Open GWAS were systematically retrieved from database estobilishment to November 2024 on DF-related single nucleotide polymorphisms and genome-wide association studies. DF-single nucleotide polymorphism-metabolite network was constructed",6
41938174,10.1002/mco2.70718,2026,MedComm,MED,Identification of Blood Pressure-Associated Metabolites by Integrating Metabolomic and Genetic Analysis.,"Liu Y, Cheng C, Pan XF, Shao W, Zhou D, Zhu Y.",This study aimed to identify blood pressure-associated metabolites and explore their underlying pathways using multiomics data from 1188 Chinese participants. Serum metabolite levels were profiled using untargeted and widely targeted metabolomic technologies. The associations of metabolites as well as ratios with blood pressure were assessed using generalized linear models (GLM). Targeted metabolomics was used to replicate a subset of metabolites. Genome-wide association studies (GWAS) were performed on all metabolites identified. Potential causality was examined using two-sample Mendelian ran,6
42162431,10.1038/s41586-026-10532-5,2026,Nature,MED,"Genetic analysis of circulating metabolic traits in 619,372 individuals.","Tambets R, Jesse M, Kronberg J, van der Graaf A, Abner E, Võsa U, Rahu I, Taba N, Kolde A, Yarish D, Abdullayeva S, Alekseienko A, Veidenberg A, Estonian Bioban","Interpreting the association of genetic variants with complex traits can be improved by gaining a greater understanding of the molecular consequences of these variants. Although genome-wide association studies (GWAS) for complex diseases routinely profile over one million individuals<sup>1-5</sup>, studies of molecular traits have lagged behind. Here we performed a GWAS meta-analysis for 249 circulating metabolic traits in the Estonian Biobank and the UK Biobank in up to 619,372 individuals. We identified 88,127 common and low-frequency locus-trait associations from 8,398 loci that converged o",6
38648753,10.1093/jnci/djae089,2024,Journal of the National Cancer Institute,MED,Systematic investigation of genetically determined plasma and urinary metabolites to discover potential interventional targets for colorectal cancer.,"Sun J, Zhao J, Zhou S, Li X, Li T, Wang L, Yuan S, Chen D, Law PJ, Larsson SC, Farrington SM, Houlston RS, Dunlop MG, Theodoratou E, Li X.","<h4>Background</h4>We aimed to identify plasma and urinary metabolites related to colorectal cancer (CRC) risk and elucidate their mediator role in the associations between modifiable risk factors and CRC.<h4>Methods</h4>Metabolite quantitative trait loci were derived from 2 published metabolomics genome-wide association studies, and summary-level data were extracted for 651 plasma metabolites and 208 urinary metabolites. Genetic associations with CRC were obtained from a large-scale genome-wide association study meta-analysis (100 204 cases, 154 587 controls) and the FinnGen cohort (4957 case",5
,10.21203/rs.3.rs-7723851/v1,2025,PPR,PPR,Ancestry-specific genetic effects on urinary 6-sulfatoxymelatonin: a multi-ancestry GWAS meta-analysis,"Żebrowska M, Zhang Z, Chuang G, Evans DS, Valliere J, Maher M, Hu J, Richmond R, Turman C, Hart JE, Lane J, Marchand LL, Wilkens L, Wielscher M, Haiman C, Cheng","<title>Abstract</title> <p>Melatonin regulates circadian rhythms, metabolism, and immunity. Its primary metabolite, 6-sulfatoxymelatonin (aMT6s), is a biomarker linked to cancer risk and metabolic disorders. However, genetic determinants of aMT6s remain poorly understood, with only one prior GWAS limited to an East Asian cohort. We conducted the first multi-ancestry genome-wide association meta-analysis of urinary aMT6s, integrating 11,744 participants from five cohorts: East Asians (Taiwan Biobank), European women (Nurses’ Health Studies), European men (MrOS), and multiethnic participants (ME",5
42020658,10.1038/s41598-026-49491-2,2026,Scientific reports,MED,Multi ancestry genome wide association meta analysis of urinary aMT6s levels.,"Żebrowska M, Zhang Z, Chuang GT, Evans DS, Valliere J, Maher M, Hu J, Richmond R, Turman C, Hart JE, Lane J, Marchand LL, Wilkens L, Wielscher M, Haiman C, Chen","Melatonin regulates circadian rhythms, metabolism, and immunity. Its primary metabolite, 6-sulfatoxymelatonin (aMT6s), is a biomarker linked to cancer risk and metabolic disorders. However, genetic determinants of aMT6s remain poorly understood, with only one prior GWAS limited to an East Asian cohort. We conducted the first multi-ancestry genome-wide association meta-analysis of urinary aMT6s, integrating 11,744 participants from five cohorts: East Asians (Taiwan Biobank), European women (Nurses' Health Studies), European men (MrOS), and multiethnic participants (MEC). aMT6s was measured from",5
39073618,10.1007/s00403-024-03217-4,2024,Archives of dermatological research,MED,Assessing the genetic associations between plasma lipidomic profiles and psoriasis vulgaris.,"Zhang M, Yu S.","Several studies have indicated a potential causal relationship between plasma standard lipids, such as high-density lipoprotein-cholesterol (HDL-C), low-density lipoprotein-cholesterol (LDL-C), triglycerides (TG), and total cholesterol (TC), and psoriasis. However, few studies have offered causal evidence of lipid species beyond these standard lipids. We conducted an analysis using a genome-wide association study (GWAS) dataset comprising 179 lipid species, including 13 types across four major categories, to identify instrumental variables (IVs) associated with plasma lipids. We utilized two G",4
41236724,10.1002/alz.70898,2025,Alzheimer's & dementia : the journal of the Alzheimer's Association,MED,"Genetic regulation of the metabolome differs by sex, Alzheimer's disease stage, and plasma biomarker status.","Eissman JM, Qiao M, Kalia V, Zerlin-Esteves M, Reyes-Dumeyer D, Piriz A, Dubey S, Nandakumar R, Lee AJ, Lantigua RA, Medrano M, Mejia DR, Honig LS, Dalgard CL, ","<h4>Introduction</h4>We investigated genetic regulators of circulating plasma metabolites to identify pathways underlying biochemical changes in clinical and biomarker-supported Alzheimer's disease (AD).<h4>Methods</h4>We computed metabolite quantitative trait loci (QTL) with whole-genome sequencing (WGS) and small molecule plasma metabolites from 229 older adults with clinical AD and 322 age-matched healthy controls. Unbiased associations between 6881 metabolites and 332,772 common genetic variants were tested, adjusted for age, sex, and both metabolomic and genomic principal components.<h4>R",4
39837327,10.1016/j.xgen.2024.100743,2025,Cell genomics,MED,Genetic mapping of serum metabolome to chronic diseases among Han Chinese.,"Cheng C, Xu F, Pan XF, Wang C, Fan J, Yang Y, Liu Y, Sun L, Liu X, Xu Y, Zhou Y, Xiao C, Gou W, Miao Z, Yuan J, Shen L, Fu Y, Sun X, Zhu Y, Chen Y, Pan A, Zhou ","Serum metabolites are potential regulators for chronic diseases. To explore the genetic regulation of metabolites and their roles in chronic diseases, we quantified 2,759 serum metabolites and performed genome-wide association studies (GWASs) among Han Chinese individuals. We identified 184 study-wide significant (p < 1.81 × 10<sup>-11</sup>) metabolite quantitative trait loci (metaboQTLs), 88.59% (163) of which were novel. Notably, we identified Asian-ancestry-specific metaboQTLs, including the SNP rs2296651 for taurocholic acid and taurochenodesoxycholic acid. Leveraging the GWAS for 37 clin",4
40220762,10.1016/j.xgen.2025.100847,2025,Cell genomics,MED,Improved genetic discovery and fine-mapping resolution through multivariate latent factor analysis of high-dimensional traits.,"Zhou F, Astle WJ, Butterworth AS, Asimit JL.","Genome-wide association studies (GWASs) of high-dimensional traits, such as blood cell or metabolic traits, often use univariate approaches, ignoring trait relationships. Biological mechanisms generating variation in high-dimensional traits can be captured parsimoniously through a GWAS of latent factors. Here, we introduce flashfmZero, a zero-correlation latent-factor-based multi-trait fine-mapping approach. In an application to 25 latent factors derived from 99 blood cell traits in the INTERVAL cohort, we show that latent factor GWASs enable the detection of signals generating sub-threshold a",4
40865610,10.1016/j.jlr.2025.100890,2025,Journal of lipid research,MED,Widespread but moderate genetic overlap between circulating polyunsaturated fatty acids and brain disorders.,"Xu H, Sun Y, Francis M, Cheng CF, Modulla NTR, Brenna JT, Chiang CWK, Ye K.","Polyunsaturated fatty acids (PUFAs) are indispensable for proper neuronal function. PUFA deficiency and imbalance have been linked to various brain disorders, including major depressive disorder (MDD) and anxiety. However, the effects of PUFAs on brain disorders remain inconclusive, and the extent of their shared genetic determinants is largely unknown. We utilized genome-wide association summary statistics from six phenotypes of circulating PUFAs (N = 114,999) and 20 brain disorders (N = 9,725-762,917). We performed genome-wide analysis for each of the 120 trait pairs. We evaluated the correl",4
41417750,10.1371/journal.pdig.0001125,2025,PLOS digital health,MED,Towards precision psychiatry: Metabolomics identifies three biological subtypes of depression.,"Ma S, Nie Z, Zhang M, Mei J, Zhou E, Hu Z, Lv H, Gong Q, Wang G, Wang H, Du B, Yang J, Liu Z.","Depression is clinically and biologically heterogeneous, mandating classification strategies for personalized medicine. This study explored depression subtypes using metabolomics data from the UK Biobank and validated the subtypes in the Whitehall II cohort. The five-step analysis included: (1) identification of distinct subtypes using non-negative matrix factorization (NMF) and four machine learning algorithms; (2) genome-wide association studies (GWAS) to examine associations across subtypes and controls; (3) comparison of clinical characteristics across subtypes; (4) development of 24 subty",4
40240424,10.1038/s41598-025-94839-9,2025,Scientific reports,MED,Plasma metabolomic signatures for copy number variants and COVID-19 risk loci in Northern Finland populations.,"De T, Coin L, Herberg J, Johnson MR, Järvelin MR.","Copy number variants (CNVs) are an important class of genomic variation known to be important for human physiology and diseases. Here we present genome-wide metabolomic signatures for CNVs in two Finnish cohorts-The Northern Finland Birth Cohort 1966 (NFBC 1966) and NFBC 1986. We have analysed and reported CNVs in over 9,300 individuals and characterised their dosage effect (CNV-metabolomic QTL) on 228 plasma lipoproteins and metabolites. We have reported reference (normal physiology) metabolomic signatures for up to ~ 2.6 million COVID-19 GWAS results from the National Institutes of Health (N",4
41705646,10.1111/dom.70565,2026,"Diabetes, obesity & metabolism",MED,Causal role of genetically predicted impairment of branched-chain amino acid catabolism on insulin secretion and insulin resistance in type 2 diabetes.,"Zhou X, Lu J, Wang Z, Cheng KK, Li GH.","<h4>Background</h4>Elevated branched-chain amino acids (BCAAs; leucine, valine, isoleucine) are linked to type 2 diabetes (T2D) risk, characterised by defective insulin secretion in pancreatic β-cell and peripheral insulin resistance. Causative interaction between BCAA metabolism and these two diabetic pathogenesis remains unclear.<h4>Methods</h4>Using publicly available datasets from the European population, we conducted a meta-analysis of genome-wide association studies (GWAS), followed by multi-trait analysis of GWAS (MTAG), to identify genetic loci associated with BCAAs and their catabolit",4
