<a href='https://doi.org/10.1038/s41467-025-67235-0'>Sigurdsson et al. (Nat Commun 2025)</a>,48594,"UK Biobank proteomics cohort (European), N=48,594; replication in Olink and MS cohorts",~2900 (UKB-PPP Olink),,Olink (UKB-PPP) + mass spectrometry
<a href='https://doi.org/10.1038/s41598-025-10031-z'>Bhak et al. (Sci Rep 2025)</a>,30272,"UK Biobank Caucasian (discovery); Japanese, Finnish, South Asian, Black (replication)",2922,113 sex-dimorphic pQTLs (65 proteins),"Olink (UKB-PPP, 2922 proteins)"
<a href='https://doi.org/10.1038/s41591-025-03831-3'>Farinas et al. (Nat Med 2025)</a>,2171,"2,171 healthy/cognitively impaired older adults (multi-cohort, GNPC)",,loci for 241 protein CSF:plasma ratios,SomaScan
<a href='https://doi.org/10.1038/s41586-025-09357-5'>Hofmeister et al. (Nature 2025)</a>,up to ~109385,"UK Biobank (up to 109,385 with parent-of-origin inference); replication Estonian Biobank, MoBa",,">14,000 pQTLs scanned for POE",Olink Explore (UKB-PPP)
<a href='https://doi.org/10.3390/biomedicines13040971'>Yu et al. (Biomedicines 2025)</a>,500,"500 type 2 diabetes patients, Shanghai (Chinese)",369,66 pQTLs,Olink Explore 384 (Cardiometabolic)
<a href='https://doi.org/10.1161/strokeaha.125.050982'>Yao et al. (Stroke 2025)</a>,NR (CKB + UKB),China Kadoorie Biobank (East Asian) + UK Biobank (European),2923,cis-pQTL for 2923 proteins (from own GWAS),Olink Explore
<a href='https://doi.org/10.1101/2025.11.21.689764'>Abbas et al. (bioRxiv 2025)</a>,362,362 plasma samples (with WGS),,1273 pQTLs linked to 22 proteins,Olink
<a href='https://doi.org/10.1101/2025.11.20.25340688'>Ben-Eghan et al. (medRxiv 2025)</a>,"52,706","UK Biobank EUR (45,486), AFR (1,336), CSA (934)",2923,"2,162 cis-vQTLs","Olink (UKB-PPP, 2923 proteins)"
<a href='https://doi.org/10.1101/2025.10.06.25336803'>Khunsriraksakul et al. (medRxiv 2025)</a>,>90000,">90,000 individuals across Olink and SomaScan cohorts",,">30,000 sentinel pQTLs",Olink + SomaScan (cross-platform)
<a href='https://doi.org/10.1038/s41597-024-03140-3'>Yi et al. (Sci Data 2024)</a>,,Knight ADRC / multi-tissue cohort (European),1300,38 brain / 150 CSF / 95 plasma genomic regions,SomaScan (aptamer)
<a href='https://doi.org/10.1038/s41467-024-50583-8'>Krishna et al. (Nat Commun 2024)</a>,45330,"UK Biobank, 45,330 Europeans + multi-ancestry replication",2940,504 proteins with HLA-pQTL,Olink Explore (UKB-PPP)
<a href='https://doi.org/10.1038/s41467-024-51744-5'>Hillary et al. (Nat Commun 2024)</a>,52363,"52,363 UK Biobank participants",1463,677 independent vQTLs across 568 proteins,Olink (UK Biobank Pharma Proteomics Project)
<a href='https://doi.org/10.1186/s12864-024-10619-1'>Konigsberg et al. (BMC Genomics 2024)</a>,3173,"COPDGene, 3173 Non-Hispanic White + African American; replication SPIROMICS",4776,7 network QTL (nQTL) loci,SomaScan v4.0
<a href='https://doi.org/10.1101/2024.07.04.24309942'>Sigurdsson et al. (medRxiv 2024)</a>,"48,594","UK Biobank proteomics (48,594), European; replication Olink + MS cohorts",,138 proteins with non-linear effects (123 non-linear covariate; 15 dominance/epistasis),Olink and mass spectrometry (UKB-PPP + MS cohorts)
<a href='https://doi.org/10.1158/0008-5472.can-23-0758'>Chen et al. (Cancer Res 2023)</a>,"NR (31 cancer types, TCGA)",TCGA patients across 31 cancer types,~350+ (TCPA RPPA panel),"~100,000 pQTLs",RPPA (The Cancer Proteome Atlas)
<a href='https://doi.org/10.21203/rs.3.rs-5871891/v1'>Kutalik/Hofmeister et al. (Res Sq 2025)</a>,~221062 (POE-inferred),"UK Biobank (discovery, up to 221,062) + Estonian Biobank (replication); MoBa offspring",">2,400 protein levels",,Olink (UKB-PPP)
<a href='https://doi.org/10.1101/2025.10.08.25337413'>Wojtas et al. (medRxiv 2025)</a>,1104 (CSF),"118 cerebrovascular-enriched brain samples; 1,104 CSF individuals",11000,,"Brain + CSF proteomics (>11,000 proteins)"
