row_id,Reference,orig_url,method,DOI,PMID,epmc_source,resolved_title,resolved_journal,resolved_year,status,flag
37,Nath et al. (AJHG 2019),https://www.cell.com/ajhg/fulltext/S0002-9297(19)30389-1,verified-manual,10.1016/j.ajhg.2019.10.001,31679650,,"Multivariate Genome-wide Association Analysis of a Cytokine Network Reveals Variants with Widespread Immune, Haematological, and Cardiometabolic Pleiotropy.",American journal of human genetics,2019,resolved,
38,"Folkersen et al. (Nature Metabolism, 2020), preprint on bioRxiv, 2020",https://www.nature.com/articles/s42255-020-00287-2,doi,10.1038/s42255-020-00287-2,33067605,MED,"Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.",Nat Metab,2020,resolved,
39,"Sjaarda et al. (AJHG, 2020)",https://www.cell.com/ajhg/fulltext/S0002-9297(20)30016-1,verified-manual,10.1016/j.ajhg.2020.01.016,32059761,,Influence of Genetic Ancestry on Human Serum Proteome.,American journal of human genetics,2020,resolved,
40,"Gilly et al. (Nat. Comm. 2020), preprint on bioRxiv",https://www.nature.com/articles/s41467-020-20079-2,doi,10.1038/s41467-020-20079-2,33303764,MED,Whole-genome sequencing analysis of the cardiometabolic proteome.,Nat Commun,2020,resolved,
41,"Emilson et al. (Nat. Comm. 2022), preprint bioRxiv 2020",https://www.nature.com/articles/s41467-022-28081-6,doi,10.1038/s41467-022-28081-6,35079000,MED,Coding and regulatory variants are associated with serum protein levels and disease.,Nat Commun,2022,resolved,
42,"Zhong et al. (BMC Genome Med, 2020)",https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-020-00755-0,doi,10.1186/s13073-020-00755-0,32576278,MED,Whole-genome sequence association analysis of blood proteins in a longitudinal wellness cohort.,Genome Med,2020,resolved,
43,Dodig-Crnkovic et al. (EBioMedicine 2020),https://www.sciencedirect.com/science/article/pii/S2352396420302292,fallback-unique,10.1016/j.ebiom.2020.102854,32629387,MED,Facets of individual-specific health signatures determined from longitudinal plasma proteome profiling.,EBioMedicine,2020,resolved,
44,"Hillary et al. (Genome Medicine 2020), pre-print on BioRxiv",https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-020-00754-1,doi,10.1186/s13073-020-00754-1,32641083,MED,Multi-method genome- and epigenome-wide studies of inflammatory protein levels in healthy older adults.,Genome Med,2020,resolved,
45,"Ruffieu et al. (PLoS Comp Bio 2020), pre-print on bioRxiv",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1007882,doi,10.1371/journal.pcbi.1007882,32492067,MED,A fully joint Bayesian quantitative trait locus mapping of human protein abundance in plasma.,PLoS Comput Biol,2020,resolved,
46,"Bretherick et al. (PLoS Genetics, 2020)",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008785,doi,10.1371/journal.pgen.1008785,32628676,MED,Linking protein to phenotype with Mendelian Randomization detects 38 proteins with causal roles in human diseases and traits.,PLoS Genet,2020,resolved,
47,"Pietzner et al. (Nature Comm, 2021), preprint on bioRxiv",https://www.nature.com/articles/s41467-020-19996-z,doi,10.1038/s41467-020-19996-z,33328453,MED,Genetic architecture of host proteins involved in SARS-CoV-2 infection.,Nat Commun,2020,resolved,
48,"Zhang et al. (Nature Genetics, 2022), preprint on (bioRxiv)",https://www.nature.com/articles/s41588-022-01051-w,doi,10.1038/s41588-022-01051-w,35501419,MED,Plasma proteome analyses in individuals of European and African ancestry identify cis-pQTLs and models for proteome-wide association studies.,Nat Genet,2022,resolved,
49,Brown et al. (Nat. Comms. 2023),https://www.nature.com/articles/s41467-023-40569-3,doi,10.1038/s41467-023-40569-3,37604891,MED,Genetic analysis of blood molecular phenotypes reveals common properties in the regulatory networks affecting complex traits.,Nat Commun,2023,resolved,
50,"Zhong et al., (Nature Comm. 2021)",https://www.nature.com/articles/s41467-021-22767-z,doi,10.1038/s41467-021-22767-z,33941778,MED,Next generation plasma proteome profiling to monitor health and disease.,Nat Commun,2021,resolved,
51,"Gurinovich et al. (GeroScience, 2021)",https://link.springer.com/article/10.1007/s11357-021-00376-4,doi,10.1007/s11357-021-00376-4,33948810,MED,Effect of longevity genetic variants on the molecular aging rate.,Geroscience,2021,resolved,
52,"Gudjonsson et al. (Nat. Comm. 2022), (bioRxiv 2021)",https://www.nature.com/articles/s41467-021-27850-z,doi,10.1038/s41467-021-27850-z,35078996,MED,A genome-wide association study of serum proteins reveals shared loci with common diseases.,Nat Commun,2022,resolved,
53,"Yang et al. (Nature Neuroscience, 2021), preprint medRxiv",https://www.nature.com/articles/s41593-021-00886-6,doi,10.1038/s41593-021-00886-6,34239129,MED,"Genomic atlas of the proteome from brain, CSF and plasma prioritizes proteins implicated in neurological disorders.",Nat Neurosci,2021,resolved,
54,"Pietzner et al. (Science, 2021)",https://www.science.org/doi/10.1126/science.abj1541,doi,10.1126/science.abj1541,34648354,MED,Mapping the proteo-genomic convergence of human diseases.,Science,2021,resolved,
55,"Katz et al. (Circulation, 2021)",https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.121.055117,doi,10.1161/circulationaha.121.055117,34814699,MED,Whole Genome Sequence Analysis of the Plasma Proteome in Black Adults Provides Novel Insights Into Cardiovascular Disease.,Circulation,2022,resolved,
56,"Ferkingstad et al. (Nature Genetics, 2021)",https://www.nature.com/articles/s41588-021-00978-w,doi,10.1038/s41588-021-00978-w,34857953,MED,Large-scale integration of the plasma proteome with genetics and disease.,Nat Genet,2021,resolved,
57,"Png et al. (Nat Comm, 2021)",https://www.nature.com/articles/s41467-021-27387-1,doi,10.1038/s41467-021-27387-1,34857772,MED,Mapping the serum proteome to neurological diseases using whole genome sequencing.,Nat Commun,2021,resolved,
58,"Preprint on Research Square, 2022",https://www.researchsquare.com/article/rs-1633422/v1,verified-manual,10.21203/rs.3.rs-1633422/v1,,,,Research Square (preprint),2022,partial,
59,"Sun et al., bioRxiv 2022",https://www.biorxiv.org/content/10.1101/2022.06.17.496443v1,doi,10.1101/2022.06.17.496443,,PPR,"Genetic regulation of the human plasma proteome in 54,306 UK Biobank participants","{'publisher': 'bioRxiv', 'yearOfPublication': 2022}",2022,resolved,
60,"Katz et al., Science Advances 2022",https://www.science.org/doi/10.1126/sciadv.abm5164,doi,10.1126/sciadv.abm5164,35984888,MED,Proteomic profiling platforms head to head: Leveraging genetics and clinical traits to compare aptamer- and antibody-based methods.,Sci Adv,2022,resolved,
61,"Thareja et al., Human Mol. Genetics (in press)",https://academic.oup.com/hmg/advance-article/doi/10.1093/hmg/ddac243/6724969,verified-manual,10.1093/hmg/ddac243,36168886,,Differences and commonalities in the genetic architecture of protein quantitative trait loci.,Human molecular genetics,2023,resolved,
62,"He et al., BMC Biology, 2020",https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-020-00830-3,doi,10.1186/s12915-020-00830-3,32778093,MED,Genome-wide pQTL analysis of protein expression regulatory networks in the human liver.,BMC Biol,2020,resolved,
63,Dhindsa et al. medRxiv 2022,https://www.biorxiv.org/content/10.1101/2022.10.09.511476v1,doi,10.1101/2022.10.09.511476,,PPR,"Influences of rare protein-coding genetic variants on the human plasma proteome in 50,829 UK Biobank participants","{'publisher': 'bioRxiv', 'yearOfPublication': 2022}",2022,resolved,
64,"Hou et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=419,conf-abstract,,,,,,,unresolved,
65,"Chen et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=2573,conf-abstract,,,,,,,unresolved,
66,"Koprulu et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1944,conf-abstract,,,,,,,unresolved,
67,"Richardson et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1123,conf-abstract,,,,,,,unresolved,
68,"Kuliesius et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1535,conf-abstract,,,,,,,unresolved,
69,"Cruchaga et alk. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1155,conf-abstract,,,,,,,unresolved,
70,"Cai et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=311,conf-abstract,,,,,,,unresolved,
71,"Siddiqui et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=588,conf-abstract,,,,,,,unresolved,
72,"Chiou et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=1861,conf-abstract,,,,,,,unresolved,
73,"Wingo et al. (ASHG abstract, 2022)",https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=2514,conf-abstract,,,,,,,unresolved,
74,"Surapaneni et al. (Kidney International, 2022)",https://www.kidney-international.org/article/S0085-2538(22)00547-6/fulltext,verified-manual,10.1016/j.kint.2022.07.005,35870639,,Identification of 969 protein quantitative trait loci in an African American population with kidney disease attributed to hypertension.,Kidney international,2022,resolved,
75,Hansson et al. (EMBO Mol. Med. 2022),https://www.embopress.org/doi/full/10.15252/emmm.202216359,doi,10.15252/emmm.202216359,36504281,MED,The genetic regulation of protein expression in cerebrospinal fluid.,EMBO Mol Med,2023,resolved,
76,"Caron et al. (Genome Medicine, 2022)",https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-022-01032-y,doi,10.1186/s13073-022-01032-y,35264221,MED,Integrative genetic and immune cell analysis of plasma proteins in healthy donors identifies novel associations involving primary immune deficiency genes.,Genome Med,2022,resolved,
77,"Hillary et al. (Alzheimers Dement, 2022)",https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/dad2.12280,doi,10.1002/dad2.12280,35475137,MED,Genome- and epigenome-wide studies of plasma protein biomarkers for Alzheimer's disease implicate TBCA and TREM2 in disease risk.,Alzheimers Dement (Amst),2022,resolved,
78,"Koprulu et al. (Nature Metabolism, 2023)",https://www.nature.com/articles/s42255-023-00753-7,doi,10.1038/s42255-023-00753-7,36823471,MED,Proteogenomic links to human metabolic diseases.,Nat Metab,2023,resolved,
79,"Niu et al., medRxiv 2023",https://www.medrxiv.org/content/10.1101/2023.03.31.23287853v1,doi,10.1101/2023.03.31.23287853,,PPR,Plasma Proteome Variation and its Genetic Determinants in Children and Adolescents,"{'publisher': 'medRxiv', 'yearOfPublication': 2023}",2023,resolved,
80,"Xu et al. (Nat. Comm., 2023)",https://www.nature.com/articles/s41467-023-36491-3,doi,10.1038/s41467-023-36491-3,36797296,MED,Genome-wide genotype-serum proteome mapping provides insights into the cross-ancestry differences in cardiometabolic disease susceptibility.,Nat Commun,2023,resolved,
81,Wingo et al. (Nat. Med. 2023),https://www.nature.com/articles/s41591-023-02509-y,doi,10.1038/s41591-023-02509-y,37653343,MED,Sex differences in brain protein expression and disease.,Nat Med,2023,resolved,
82,Wingo et al. (Nat. Genet. 2023),https://www.nature.com/articles/s41588-020-00773-z,doi,10.1038/s41588-020-00773-z,33510477,MED,Integrating human brain proteomes with genome-wide association data implicates new proteins in Alzheimer's disease pathogenesis.,Nat Genet,2021,resolved,
83,Zhao et al. (Nat. Immun. 2023),https://www.nature.com/articles/s41590-023-01588-w,doi,10.1038/s41590-023-01588-w,37563310,MED,Genetics of circulating inflammatory proteins identifies drivers of immune-mediated disease risk and therapeutic targets.,Nat Immunol,2023,resolved,
84,Sun et al. (Nature 2023),https://www.nature.com/articles/s41586-023-06592-6,doi,10.1038/s41586-023-06592-6,37794186,MED,Plasma proteomic associations with genetics and health in the UK Biobank.,Nature,2023,resolved,
85,Dhindsa et al. (Nature 2023),https://www.nature.com/articles/s41586-023-06547-x,doi,10.1038/s41586-023-06547-x,37794183,MED,Rare variant associations with plasma protein levels in the UK Biobank.,Nature,2023,resolved,
86,Eldjarn et al. (Nature 2023),https://www.nature.com/articles/s41586-023-06563-x,doi,10.1038/s41586-023-06563-x,37794188,MED,Large-scale plasma proteomics comparisons through genetics and disease associations.,Nature,2023,resolved,
87,Macdonald-Dunlop et al. (medRxiv 2021),https://www.medrxiv.org/content/10.1101/2021.08.03.21261494v1,doi,10.1101/2021.08.03.21261494,,PPR,"Mapping genetic determinants of 184 circulating proteins in 26,494 individuals to connect proteins and diseases","{'publisher': 'medRxiv', 'yearOfPublication': 2021}",2021,resolved,
88,Carland et al. (Clin. Proteom. 2023),https://clinicalproteomicsjournal.biomedcentral.com/articles/10.1186/s12014-023-09421-0,doi,10.1186/s12014-023-09421-0,37550624,MED,Proteomic analysis of 92 circulating proteins and their effects in cardiometabolic diseases.,Clin Proteomics,2023,resolved,
89,"Gilly et al. (Molecular Metabolism, 2023)",https://doi.org/10.1016/j.molmet.2023.101810,doi,10.1016/j.molmet.2023.101810,37778719,MED,Genome-wide meta-analysis of 92 cardiometabolic protein serum levels.,Mol Metab,2023,resolved,
90,"Said et al. (MedRxiv, 2023)",https://www.medrxiv.org/content/10.1101/2023.11.13.23298365v1,doi,10.1101/2023.11.13.23298365,,PPR,Ancestry diversity in the genetic determinants of the human plasma proteome enhances identification of potential drug targets,"{'publisher': 'medRxiv', 'yearOfPublication': 2023}",2023,resolved,
91,Suhre (Cell Genomics 2024),https://www.cell.com/cell-genomics/fulltext/S2666-979X(24)00033-8,verified-manual,10.1016/j.xgen.2024.100506,38412862,MED,Genetic associations with ratios between protein levels detect new pQTLs and reveal protein-protein interactions.,Cell Genomics,2024,resolved,
92,Kalnapenkis et al. (Scientific Reports 2024),https://www.nature.com/articles/s41598-024-57966-3,doi,10.1038/s41598-024-57966-3,38565889,MED,Genetic determinants of plasma protein levels in the Estonian population.,Sci Rep,2024,resolved,
93,Fang et al. medRxiv 2025,https://www.medrxiv.org/content/10.1101/2025.01.10.25320181v1,doi,10.1101/2025.01.10.25320181,,PPR,Regulation of protein abundance in normal human tissues,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",2025,resolved,
