row_id,Year,Reference,Study_population,Sample_type,Platform_class,Platform_detail,N_proteins,N_cis_pQTL,N_trans_pQTL,N_pQTL_total,N_pQTL_raw,N_samples,PMID,DOI,PubMed_url,DOI_url,orig_url,notes,flag
11,2016,"Deming et al. (Sci Rep, 2016)",Alzheimer cohort,Plasma,Immunoassay,Immuno-assay,146,,,56,56,818,36647296,10.1038/srep18092,https://pubmed.ncbi.nlm.nih.gov/36647296/,https://doi.org/10.1038/srep18092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4698720/,,
12,2016,"Solomon et al. (Circ Cardiovasc Genet, 2016)",Population study,Serum,Immunoassay,Immuno-assay for proteins implicated in cardiovascular diseases,51,,,27,27,330,27329291,10.1161/circgenetics.115.001327,https://pubmed.ncbi.nlm.nih.gov/27329291/,https://doi.org/10.1161/circgenetics.115.001327,https://www.ncbi.nlm.nih.gov/pubmed/27329291,,
13,2017,"Ahola-Olli et al. (Am J Hum Genet, 2017)",Population study,Plasma/serum (assumed),Immunoassay,Immuno-assay for cytokines and growth factors,48,,,27,27,8293,27989323,10.1016/j.ajhg.2016.11.007,https://pubmed.ncbi.nlm.nih.gov/27989323/,https://doi.org/10.1016/j.ajhg.2016.11.007,https://www.ncbi.nlm.nih.gov/pubmed/27989323,sample type assumed plasma/serum (not stated in source),
14,2017,"Di Narzo et al. (PLoS Genet, 2017)",Inflammatory bowel disease (IBD) patients,Serum,Aptamer (SomaScan),Aptamer-based (SOMAscan 1.1k),1128,,,41,41,187,28129359,10.1371/journal.pgen.1006565,https://pubmed.ncbi.nlm.nih.gov/28129359/,https://doi.org/10.1371/journal.pgen.1006565,https://www.ncbi.nlm.nih.gov/pubmed/28129359,,
15,2017,"Suhre et al. (Nature Comm, 2017)",KORA and QMDiab study (Germany and Qatar),Plasma,Aptamer (SomaScan),Aptamer-based (SOMAscan 1.1k),1124,,,539,539,1335,28240269,10.1038/ncomms14357,https://pubmed.ncbi.nlm.nih.gov/28240269/,https://doi.org/10.1038/ncomms14357,https://www.nature.com/articles/ncomms14357,,
16,2017,"Sasayama et al. (Hum Mol Genet, 2017)",CSF fluid from a Japanese population,CSF,Aptamer (SomaScan),Aptamer-based (SOMAscan 1.1k),1126,,,476,476,133,28031287,10.1093/hmg/ddw366,https://pubmed.ncbi.nlm.nih.gov/28031287/,https://doi.org/10.1093/hmg/ddw366,https://www.ncbi.nlm.nih.gov/pubmed/28031287,,
17,2017,"Folkersen et al. (PLoS Genet., 2017)",Population study,Plasma,Immunoassay,Immuno-assay for proteins implicated in cardiovascular diseases,83,,,79,79,3394,28369058,10.1371/journal.pgen.1006706,https://pubmed.ncbi.nlm.nih.gov/28369058/,https://doi.org/10.1371/journal.pgen.1006706,https://www.ncbi.nlm.nih.gov/pubmed/28369058,,
18,2017,"de Vries et al. (Hum. Mol. Genet., 2017)","1,552 European Americans and 1,872 African Americans (ARIC study)",Serum,Mass spec,Mass-spectrometry (small peptide subset of the non-targeted Metabolon metabolomics platform),25,,,22,22,3424,28854705,10.1093/hmg/ddx266,https://pubmed.ncbi.nlm.nih.gov/28854705/,https://doi.org/10.1093/hmg/ddx266,https://academic.oup.com/hmg/article/26/17/3442/3953984,,
19,2017,"Ahsan et al. (PLoS Genet., 2017)",Population study,Plasma/serum (assumed),PEA (Olink),Antibody-based proximity extension assay,121,,,45,45,1033,28915241,10.1371/journal.pgen.1007005,https://pubmed.ncbi.nlm.nih.gov/28915241/,https://doi.org/10.1371/journal.pgen.1007005,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007005,sample type assumed plasma/serum (not stated in source),
20,2017,"Carayol et al. (Nature Comm, 2017)",Obese subjects,Plasma/serum (assumed),Aptamer (SomaScan),Aptamer-based (SOMAscan 1.1k),1129,,,55,55,494,29234017,10.1038/s41467-017-02182-z,https://pubmed.ncbi.nlm.nih.gov/29234017/,https://doi.org/10.1038/s41467-017-02182-z,https://www.nature.com/articles/s41467-017-02182-z,sample type assumed plasma/serum (not stated in source),
21,2018,"Benson et al. (Circulation, 2017)",Framingham Heart Study and Malmö Diet and Cancer Study,Plasma/serum (assumed),Aptamer (SomaScan),"Aptamer-based, array based genotyping and exome seq",1129,,,161,161,2180,29258991,10.1161/circulationaha.117.029536,https://pubmed.ncbi.nlm.nih.gov/29258991/,https://doi.org/10.1161/circulationaha.117.029536,https://doi.org/10.1161/CIRCULATIONAHA.117.029536,sample type assumed plasma/serum (not stated in source),
22,2018,"Patin et al. (Nature Immunology, 2018)","unrelated, Western European ancestry, Milieu Intérieur cohort",Plasma/serum (assumed),Other / unspecified,"Mean fluorescence intensity (MFI), cell surface marker (not really proteomics)",87,,,36,36,1000,29476184,10.1038/s41590-018-0049-7,https://pubmed.ncbi.nlm.nih.gov/29476184/,https://doi.org/10.1038/s41590-018-0049-7,https://www.nature.com/articles/s41590-018-0049-7,sample type assumed plasma/serum (not stated in source); source labels this as not strictly a protein-abundance GWAS,not-really-proteomics
23,2018,"Sun et al. (Nature, 2018); pre-print on bioRxiv",Interval study (UK blood donors),Plasma,Aptamer (SomaScan),Aptamer-based (SOMAscan in-house),2994,,,1927,1927,3301,29875488,10.1038/s41586-018-0175-2,https://pubmed.ncbi.nlm.nih.gov/29875488/,https://doi.org/10.1038/s41586-018-0175-2,https://www.nature.com/articles/s41586-018-0175-2,,
24,2018,"Emilsson et al. (Science, 2018)",AGES Reykjavik study (Islanders over 65),Serum,Aptamer (SomaScan),Aptamer-based (SOMAscan in-house),4137,,,3134,3134,5457,30072576,10.1126/science.aaq1327,https://pubmed.ncbi.nlm.nih.gov/30072576/,https://doi.org/10.1126/science.aaq1327,http://science.sciencemag.org/content/early/2018/08/01/science.aaq1327,,
25,2018,"Yao et al. (Nature Comm, 2018); pre-print on bioRxiv",Framingham Heart Study,Plasma,Aptamer (SomaScan),"Immuno-assay for proteins implicated in cardiovascular diseases, replication aptamer-based",71,,,105,105,6861,30111768,10.1038/s41467-018-05512-x,https://pubmed.ncbi.nlm.nih.gov/30111768/,https://doi.org/10.1038/s41467-018-05512-x,https://www.nature.com/articles/s41467-018-05512-x,,
28,2018,Zhernakova et al. (Nature Gen. 2018),LifeLines Dutch population cohort,Plasma/serum (assumed),PEA (Olink),Immuno-assay (Olink CVD II panel),92,,,214,214,1264,30250126,10.1038/s41588-018-0224-7,https://pubmed.ncbi.nlm.nih.gov/30250126/,https://doi.org/10.1038/s41588-018-0224-7,https://www.nature.com/articles/s41588-018-0224-7,sample type assumed plasma/serum (not stated in source),
29,2018,"Solomon et al. (Circulation: Genomic and Precision Medicine, 2018)",Tromsø Study,Plasma,Mass spec,"Tandem mass tag mass spectrometry, with whole-exome sequencing",664,,,60,60,165,30562114,10.1161/circgen.118.002170,https://pubmed.ncbi.nlm.nih.gov/30562114/,https://doi.org/10.1161/circgen.118.002170,https://www.ahajournals.org/doi/10.1161/CIRCGEN.118.002170,,
26,2019,"Sliz et al. (J. Med. Genet., 2019), pre-print on bioRxiv","Northern Finland Birth Cohort 1966 + meta-analysis in N=13,577",Plasma/serum (assumed),Immunoassay,"Immuno-assay (Luminex / Milliplex, targeting chemokines & cytokines)",16,,,16,16,5284,31217265,10.1136/jmedgenet-2018-105965,https://pubmed.ncbi.nlm.nih.gov/31217265/,https://doi.org/10.1136/jmedgenet-2018-105965,https://jmg.bmj.com/content/early/2019/06/19/jmedgenet-2018-105965,sample type assumed plasma/serum (not stated in source),
31,2019,"Hillary et al. (Nat. Comm., 2019)",Lothian Birth Cohort 1936,Plasma/serum (assumed),PEA (Olink),Immuno-assay (Olink neurology panel),92,,,41,41,750,31320639,10.1038/s41467-019-11177-x,https://pubmed.ncbi.nlm.nih.gov/31320639/,https://doi.org/10.1038/s41467-019-11177-x,https://www.nature.com/articles/s41467-019-11177-x,sample type assumed plasma/serum (not stated in source),
32,2019,Peters et al. (ASHG 2019 abstract),SCALLOP consortium,Plasma/serum (assumed),PEA (Olink),Immuno-assay (Olink INF panel),92,,14,,"at least one pQTL for 71 out of 91 proteins; 12 had cis pQTLs only, 14 trans only, and 45 both cis and trans",15335,,,,,https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=40310098,sample type assumed plasma/serum (not stated in source); ID unresolved (conf-abstract),conference-abstract
33,2019,Wilson et al. (ASHG 2019 abstract),SCALLOP consortium,Plasma/serum (assumed),PEA (Olink),Immuno-assay (Olink CVD II & III panels),184,,,,"22,518 genome-wide significant SNPs",19578,,,,,https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=112002,sample type assumed plasma/serum (not stated in source); pQTL count not cleanly parseable; see raw string; ID unresolved (conf-abstract),pqtl-ambiguous;conference-abstract
34,2019,Klaric et al. (ASHG 2019 abstract),genetically isolated ORCADES cohort (Scotland),Plasma/serum (assumed),PEA (Olink),Immuno-assay (multiple Olink panels),1102,,,3545,"3,545 pQTLs between 374 proteins and 968 genes mapping to 377 genomic regions",1059,,,,,https://eventpilotadmin.com/web/page.php?nav=false&page=Session&project=ASHG19&id=30308133,sample type assumed plasma/serum (not stated in source); ID unresolved (conf-abstract),conference-abstract
36,2019,"Höglund et al. (Scientific Rep., 2019)",Northern Swedish population health study (NSPHS),Plasma/serum (assumed),PEA (Olink),Immuno-assay (from Olink panels Oncology I and CVD I); uses Whole Genome Sequencing,72,,,18,18 novel,1005,31727947,10.1038/s41598-019-53111-7,https://pubmed.ncbi.nlm.nih.gov/31727947/,https://doi.org/10.1038/s41598-019-53111-7,https://www.nature.com/articles/s41598-019-53111-7,sample type assumed plasma/serum (not stated in source),
37,2019,Nath et al. (AJHG 2019),three population-based cohorts,Plasma/serum (assumed),Immunoassay,Cytokines using multiplex fluorescent bead-based immunoassays (Bio-Rad),18,,,8,8 loci,9267,31679650,10.1016/j.ajhg.2019.10.001,https://pubmed.ncbi.nlm.nih.gov/31679650/,https://doi.org/10.1016/j.ajhg.2019.10.001,https://www.cell.com/ajhg/fulltext/S0002-9297(19)30389-1,sample type assumed plasma/serum (not stated in source),
27,2020,"Mirauta et al. (eLife, 2020), preprint on BioRxiv, 2018",Human induced pluripotent stem cell lines (iPSC),Plasma/serum (assumed),Mass spec,Tandem Mass Tag Mass Spectrometry (TMT-MS),NA,,,712,712,202,32773033,10.7554/elife.57390,https://pubmed.ncbi.nlm.nih.gov/32773033/,https://doi.org/10.7554/elife.57390,https://elifesciences.org/articles/57390,sample type assumed plasma/serum (not stated in source),
30,2020,"Zheng et al. (Nature Genetics, 2020), preprint on BioRxiv, 2019","A Mendelian Randomization study based on pGWAS (somewhat out of scope for this table, but VERY interesting)",Plasma,Other / unspecified,Proteome PheWAS browser,1002,,,,NA,NA,32895551,10.1038/s41588-020-0682-6,https://pubmed.ncbi.nlm.nih.gov/32895551/,https://doi.org/10.1038/s41588-020-0682-6,https://www.nature.com/articles/s41588-020-0682-6,,
38,2020,"Folkersen et al. (Nature Metabolism, 2020), preprint on bioRxiv, 2020","SCALLOP consortium, incl. 13 studies",Plasma/serum (assumed),PEA (Olink),Immuno-assay (Olink CVD-I panel),90,,,451,451 pQTLs for 85 proteins,"30,931",33067605,10.1038/s42255-020-00287-2,https://pubmed.ncbi.nlm.nih.gov/33067605/,https://doi.org/10.1038/s42255-020-00287-2,https://www.nature.com/articles/s42255-020-00287-2,sample type assumed plasma/serum (not stated in source),
39,2020,"Sjaarda et al. (AJHG, 2020)","Latin Americans, ORIGIN study",Serum,Immunoassay,"Cardiometabolic biomarkers, Luminex 100/200 immunoassay platform",237,,,46,"46 regions (not a GWAS, uses admixture mapping)",2216,32059761,10.1016/j.ajhg.2020.01.016,https://pubmed.ncbi.nlm.nih.gov/32059761/,https://doi.org/10.1016/j.ajhg.2020.01.016,https://www.cell.com/ajhg/fulltext/S0002-9297(20)30016-1,,
40,2020,"Gilly et al. (Nat. Comm. 2020), preprint on bioRxiv",Hellenic Isolated Cohorts MANOLIS study,Plasma/serum (assumed),PEA (Olink),"Immuno-assay (Olink CVD-II, CVD-III, and MET panels), uses Whole Genome Sequencing",257,,,131,131,1328,33303764,10.1038/s41467-020-20079-2,https://pubmed.ncbi.nlm.nih.gov/33303764/,https://doi.org/10.1038/s41467-020-20079-2,https://www.nature.com/articles/s41467-020-20079-2,sample type assumed plasma/serum (not stated in source),
42,2020,"Zhong et al. (BMC Genome Med, 2020)",Longitudinal wellness cohort from Sweden,Plasma/serum (assumed),PEA (Olink),Immuno-assay (11 Olink panels),794,,,144,144 pQTLs across 107 proteins,101,32576278,10.1186/s13073-020-00755-0,https://pubmed.ncbi.nlm.nih.gov/32576278/,https://doi.org/10.1186/s13073-020-00755-0,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-020-00755-0,sample type assumed plasma/serum (not stated in source),
43,2020,Dodig-Crnkovic et al. (EBioMedicine 2020),"Swedish Twin Registry (STR), participants born between 1911-1958",Plasma,Immunoassay,Antibodies in suspension bead arrays,734,15,,15,15 cis-pQTLs,"2,592 twins",32629387,10.1016/j.ebiom.2020.102854,https://pubmed.ncbi.nlm.nih.gov/32629387/,https://doi.org/10.1016/j.ebiom.2020.102854,https://www.sciencedirect.com/science/article/pii/S2352396420302292,,
44,2020,"Hillary et al. (Genome Medicine 2020), pre-print on BioRxiv",Lothian Birth Cohort 1936,Plasma/serum (assumed),PEA (Olink),Immuno-assay (Olink inflammation panel),70,,,13,13,876,32641083,10.1186/s13073-020-00754-1,https://pubmed.ncbi.nlm.nih.gov/32641083/,https://doi.org/10.1186/s13073-020-00754-1,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-020-00754-1,sample type assumed plasma/serum (not stated in source),
45,2020,"Ruffieu et al. (PLoS Comp Bio 2020), pre-print on bioRxiv",Optifast Canadian cohort & DiOGenes cohort,Plasma,Aptamer (SomaScan),MS proteomics (130 proteins) and Aptamer-based (1100 proteins),1230,,,136,136,2433,32492067,10.1371/journal.pcbi.1007882,https://pubmed.ncbi.nlm.nih.gov/32492067/,https://doi.org/10.1371/journal.pcbi.1007882,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1007882,,
46,2020,"Bretherick et al. (PLoS Genetics, 2020)",Isolated populations from the islands of Orkney (Scotland) and Vis (Croatia),Plasma/serum (assumed),PEA (Olink),"Immuno-assay (Olink CVD2, CVD3, and INF panels)",249,,,154,154,up to 1992,32628676,10.1371/journal.pgen.1008785,https://pubmed.ncbi.nlm.nih.gov/32628676/,https://doi.org/10.1371/journal.pgen.1008785,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008785,sample type assumed plasma/serum (not stated in source),
47,2020,"Pietzner et al. (Nature Comm, 2021), preprint on bioRxiv",Fenland study (UK),Plasma/serum (assumed),Aptamer (SomaScan),Aptamer-based (Somalogic V4 platform),"4,775 proteins evaluated by 4,979 aptamers",220,,220,220 cis-pQTLs for 97 proteins,"10,708",33328453,10.1038/s41467-020-19996-z,https://pubmed.ncbi.nlm.nih.gov/33328453/,https://doi.org/10.1038/s41467-020-19996-z,https://www.nature.com/articles/s41467-020-19996-z,sample type assumed plasma/serum (not stated in source),
62,2020,"He et al., BMC Biology, 2020",normal human liver samples,Plasma/serum (assumed),Mass spec,LC-MS/MS using DIA-TPA,"1,508",,,,900 local pQTL variants and 4026 distant pQTL variants,287,32778093,10.1186/s12915-020-00830-3,https://pubmed.ncbi.nlm.nih.gov/32778093/,https://doi.org/10.1186/s12915-020-00830-3,https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-020-00830-3,sample type assumed plasma/serum (not stated in source); pQTL count not cleanly parseable; see raw string,pqtl-ambiguous
35,2021,"Robins et al. (AJHG 2021), preprint on bioRxiv, 2019",Dorsolateral prefrontal cortex (DLPFC) tissue from ROSMAP,Brain tissue,Mass spec,Tandem mass tag (TMT) proteomics of brain tissue; uses Whole Genome Sequencing,7376,,,8451,"8,451 independent proximal brain pQTLs for 2,474 genes",330,33571421,10.1016/j.ajhg.2021.01.012,https://pubmed.ncbi.nlm.nih.gov/33571421/,https://doi.org/10.1016/j.ajhg.2021.01.012,https://www.cell.com/ajhg/fulltext/S0002-9297(21)00012-4,,
50,2021,"Zhong et al., (Nature Comm. 2021)",Longitudinal wellness cohort from Sweden,Plasma,PEA (Olink),Immuno-assay (Olink Explorer platform),1463,,,331,331 associations between 143 proteins and 321 independent genetic variants,101,33941778,10.1038/s41467-021-22767-z,https://pubmed.ncbi.nlm.nih.gov/33941778/,https://doi.org/10.1038/s41467-021-22767-z,https://www.nature.com/articles/s41467-021-22767-z,,
51,2021,"Gurinovich et al. (GeroScience, 2021)",New England Centenarian Study (NECS),Plasma/serum (assumed),Aptamer (SomaScan),Aptamer-based (Somalogic V4? platform),4131,,,,Supp Tab 3 provides pQTL data for 21 age-associated variants with 3641 aptamers,224,33948810,10.1007/s11357-021-00376-4,https://pubmed.ncbi.nlm.nih.gov/33948810/,https://doi.org/10.1007/s11357-021-00376-4,https://link.springer.com/article/10.1007/s11357-021-00376-4,sample type assumed plasma/serum (not stated in source); pQTL count not cleanly parseable; see raw string,pqtl-ambiguous
53,2021,"Yang et al. (Nature Neuroscience, 2021), preprint medRxiv","Three tissues (cerebrospinal fluid, plasma, brain) from Europeans with and without Alzheimer's disease",CSF,Aptamer (SomaScan),Aptamer-based (SOMAscan 1.3k),"713, 931, and 1079 proteins after QC in in CSF, plasma, and brain, resp.",,,274,"274, 127 and 32 pQTLs for CSF, plasma, and brain, resp.","835, 529, and 380 CSF, plasma, and brain samples, resp.",34239129,10.1038/s41593-021-00886-6,https://pubmed.ncbi.nlm.nih.gov/34239129/,https://doi.org/10.1038/s41593-021-00886-6,https://www.nature.com/articles/s41593-021-00886-6,,
54,2021,"Pietzner et al. (Science, 2021)",fasted EDTA-plasma samples from the Fenland study,Plasma,Aptamer (SomaScan),Aptamer-based (Somalogic V4 platform),"4,775",,,10674,"10,674 pQTLs for 3,892 proteins","12,084",34648354,10.1126/science.abj1541,https://pubmed.ncbi.nlm.nih.gov/34648354/,https://doi.org/10.1126/science.abj1541,https://www.science.org/doi/10.1126/science.abj1541,,
56,2021,"Ferkingstad et al. (Nature Genetics, 2021)",Icelanders,Plasma,Aptamer (SomaScan),Aptamer-based (Somalogic V4 platform),"4,907",,,18084,"18,084","35,559",34857953,10.1038/s41588-021-00978-w,https://pubmed.ncbi.nlm.nih.gov/34857953/,https://doi.org/10.1038/s41588-021-00978-w,https://www.nature.com/articles/s41588-021-00978-w,,
57,2021,"Png et al. (Nat Comm, 2021)","MANOLIS and Pomak, part of the Hellenic Isolated Cohorts (HELIC)",Serum,PEA (Olink),Immuno-assay (Olink neurology and neuro-exploratory panels),184,,,214,214 pQTLs for 107 proteins,"2,893",34857772,10.1038/s41467-021-27387-1,https://pubmed.ncbi.nlm.nih.gov/34857772/,https://doi.org/10.1038/s41467-021-27387-1,https://www.nature.com/articles/s41467-021-27387-1,,
82,2021,Wingo et al. (Nat. Genet. 2023),Donors of European ancestry from multiple studies,Brain tissue,Mass spec,Isobaric tandem mass tag peptide labeling with peptides analyzed by liquid chromatography coupled to tandem mass spectrometry (MS),"8,356",,,,N/A,376 human brain proteomes,33510477,10.1038/s41588-020-00773-z,https://pubmed.ncbi.nlm.nih.gov/33510477/,https://doi.org/10.1038/s41588-020-00773-z,https://www.nature.com/articles/s41588-020-00773-z,,
87,2021,Macdonald-Dunlop et al. (medRxiv 2021),18 cohorts of European ancestry from Scallop,Plasma/serum (assumed),PEA (Olink),Olink CVD2 and CVD3 panels,184,,,1308,"1,308","26,494",,10.1101/2021.08.03.21261494,,https://doi.org/10.1101/2021.08.03.21261494,https://www.medrxiv.org/content/10.1101/2021.08.03.21261494v1,sample type assumed plasma/serum (not stated in source),
41,2022,"Emilson et al. (Nat. Comm. 2022), preprint bioRxiv 2020",AGES Reykjavik study (Islanders over 65),Serum,Aptamer (SomaScan),Aptamer-based (SOMAscan in-house),4782,,,5451,5451,5343,35079000,10.1038/s41467-022-28081-6,https://pubmed.ncbi.nlm.nih.gov/35079000/,https://doi.org/10.1038/s41467-022-28081-6,https://www.nature.com/articles/s41467-022-28081-6,,
48,2022,"Zhang et al. (Nature Genetics, 2022), preprint on (bioRxiv)",Atherosclerosis Risk in Communities (ARIC) cohort study,Plasma,Aptamer (SomaScan),Aptamer-based (Somalogic V4),4657,,,1005,1005 (AA) and 1384 (EA) cis-associations (trans not analyzed),"7,213 European Americans (EA) and 1,871 African Americans (AA)",35501419,10.1038/s41588-022-01051-w,https://pubmed.ncbi.nlm.nih.gov/35501419/,https://doi.org/10.1038/s41588-022-01051-w,https://www.nature.com/articles/s41588-022-01051-w,,
52,2022,"Gudjonsson et al. (Nat. Comm. 2022), (bioRxiv 2021)",AGES study (Islanders over 65),Serum,Aptamer (SomaScan),Aptamer-based (SOMAscan in-house),4782,,,4113,4113,5368,35078996,10.1038/s41467-021-27850-z,https://pubmed.ncbi.nlm.nih.gov/35078996/,https://doi.org/10.1038/s41467-021-27850-z,https://www.nature.com/articles/s41467-021-27850-z,,
55,2022,"Katz et al. (Circulation, 2021)",Black adults from the Jackson Heart Study,Plasma,Aptamer (SomaScan),Aptamer-based (SOMAscan 1.3k),"1,301",,,569,569,"1,852",34814699,10.1161/circulationaha.121.055117,https://pubmed.ncbi.nlm.nih.gov/34814699/,https://doi.org/10.1161/circulationaha.121.055117,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.121.055117,,
58,2022,"Preprint on Research Square, 2022","postmortem human brain samples (179 males, 109 females) from the Stanley Medical Research Institute (SMRI) and Banner Sun Health Research Institute (BSHRI)",Brain tissue,Mass spec,11-plex tandem mass tag (TMT) coupled with two-dimensional liquid chromatography-tandem mass spectrometry (LC/LC-MS/MS),"11,672",788,,788,788 cis-pQTLs with 883 proteins,288,,10.21203/rs.3.rs-1633422/v1,,https://doi.org/10.21203/rs.3.rs-1633422/v1,https://www.researchsquare.com/article/rs-1633422/v1,ID partial (verified-manual),id-unresolved
59,2022,"Sun et al., bioRxiv 2022","UK Biobank, frequent variants with imputed genotype",Plasma,PEA (Olink),Olink Explore 1536 platform,"35,571 (discovery) and 18,181 (replication)",,,10248,"10,248 primary associations across 2,928 independent genetic regions","1,472",,10.1101/2022.06.17.496443,,https://doi.org/10.1101/2022.06.17.496443,https://www.biorxiv.org/content/10.1101/2022.06.17.496443v1,,
60,2022,"Katz et al., Science Advances 2022",Jackson Heart Study and HERITAGE Family Study,Plasma/serum (assumed),Multi-platform,"SomaScan1.3K, SomaScan5K, Olink Explore","1301 (SomaScan1.3K), 4979 (SomaScan5K), 1472 (Olink Explore)",,,425,425 known + 373 new cis-pQTLs,"568 (Jackson Heart Study), 219 (HERITAGE Family Study)",35984888,10.1126/sciadv.abm5164,https://pubmed.ncbi.nlm.nih.gov/35984888/,https://doi.org/10.1126/sciadv.abm5164,https://www.science.org/doi/10.1126/sciadv.abm5164,sample type assumed plasma/serum (not stated in source),
63,2022,Dhindsa et al. medRxiv 2022,"UK Biobank, rare variants with exome seq",Plasma,PEA (Olink),Olink Explore 1536 platform,"1,472",,,3674,"3,674","50,829",,10.1101/2022.10.09.511476,,https://doi.org/10.1101/2022.10.09.511476,https://www.biorxiv.org/content/10.1101/2022.10.09.511476v1,,
64,2022,"Hou et al. (ASHG abstract, 2022)",UK Biobank European participants with WGS data,Plasma/serum (assumed),PEA (Olink),Olink Explore 1536 platform,"1,463",,,2374,"2,374","13,227",,,,,https://eppro01.ativ.me/web/page.php?page=IntHtml&project=ASHG22&id=419,sample type assumed plasma/serum (not stated in source); ID unresolved (conf-abstract),conference-abstract
