row_id,Year,Biofluid,Metabolic_traits,Platform,Study_population,N_Traits,Cohort_size,N_Loci,Reference,PMID,DOI,PubMed_url,DOI_url,orig_url,notes,flag
11,2012,Serum,Mainly lipid traits and low-weight metabolites,NMR (Nightingale),"Finnish, British",130,"1,905 + 4,703",34,"Inouye et al., 2012",22916037,10.1371/journal.pgen.1002907,https://pubmed.ncbi.nlm.nih.gov/22916037/,https://doi.org/10.1371/journal.pgen.1002907,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002907,platform orig: 'NMR (Brainshake)',
12,2012,Serum,"Non-targeted MS, unknowns",MS (Metabolon),German,517,"1,768",34,"Krumsiek et al., 2012",23093944,10.1371/journal.pgen.1003005,https://pubmed.ncbi.nlm.nih.gov/23093944/,https://doi.org/10.1371/journal.pgen.1003005,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003005,,
13,2013,Urine,NMR peaks,NMR,Brazil,2425,265,2,"Montoliu et al., 2013",23065485,10.1007/s12263-012-0313-7,https://pubmed.ncbi.nlm.nih.gov/23065485/,https://doi.org/10.1007/s12263-012-0313-7,https://link.springer.com/article/10.1007%2Fs12263-012-0313-7,,
14,2013,Plasma,NMR peaks,NMR,German,"8,600 + 124,750 ratios","1,757",7,"Raffler et al., 2013",23414815,10.1186/gm417,https://pubmed.ncbi.nlm.nih.gov/23414815/,https://doi.org/10.1186/gm417,https://genomemedicine.biomedcentral.com/articles/10.1186/gm417,,
15,2013,Plasma,"Fatty acids 16:0, 16:1n-7, 18:0, and 18:1n-9",GC,5 European cohorts,4,"8,961",7,"Wu et al., 2013",23362303,10.1161/circgenetics.112.964619,https://pubmed.ncbi.nlm.nih.gov/23362303/,https://doi.org/10.1161/circgenetics.112.964619,https://www.ahajournals.org/doi/abs/10.1161/CIRCGENETICS.112.964619,,
16,2013,Serum,MS peaks,MS,Swedish,"6,138",402 + 489,7,"Hong et al., 2013",23281178,10.1002/humu.22267,https://pubmed.ncbi.nlm.nih.gov/23281178/,https://doi.org/10.1002/humu.22267,https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.22267,,
17,2013,Plasma,"Amino acids, amines, polar metabolites, lipids",MS,USA (European ancestry),217,"2,076",31,"Rhee et al., 2013",23823483,10.1016/j.cmet.2013.06.013,https://pubmed.ncbi.nlm.nih.gov/23823483/,https://doi.org/10.1016/j.cmet.2013.06.013,https://linkinghub.elsevier.com/retrieve/pii/S1550-4131(13)00257-X,,
18,2014,Urine,NMR peaks,NMR,"European, Brazil","1,276",835 + 601,11,"Rueedi et al., 2014",24586186,10.1371/journal.pgen.1004132,https://pubmed.ncbi.nlm.nih.gov/24586186/,https://doi.org/10.1371/journal.pgen.1004132,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004132,,
19,2014,Serum,"Non-targeted MS, knowns and unknowns",MS,African American,308,"1,260",19,"Yu et al., 2014",24625756,10.1371/journal.pgen.1004212,https://pubmed.ncbi.nlm.nih.gov/24625756/,https://doi.org/10.1371/journal.pgen.1004212,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004212,,
20,2014,Serum,"Non-targeted MS, knowns and unknowns",MS (Metabolon),European,"486 + 98,346 ratios","7,824",145,"Shin et al., 2014",24816252,10.1038/ng.2982,https://pubmed.ncbi.nlm.nih.gov/24816252/,https://doi.org/10.1038/ng.2982,https://www.nature.com/articles/ng.2982,,
21,2014,Serum,Targeted MS (mainly phospholipids) + non-targeted MS (knowns),MS (Metabolon + Biocrates),European,344 (151 + 193),"1,809 + 843",12 new,"Ried et al., 2014",24927737,10.1093/hmg/ddu301,https://pubmed.ncbi.nlm.nih.gov/24927737/,https://doi.org/10.1093/hmg/ddu301,https://academic.oup.com/hmg/article/23/21/5847/2901042,platform orig: 'MS (Metabolon & Biocrates)',
22,2015,Serum,NMR-derived metabolites,NMR,European,42,"2,118",8,"Demirkan et al., 2015",25569235,10.1371/journal.pgen.1004835,https://pubmed.ncbi.nlm.nih.gov/25569235/,https://doi.org/10.1371/journal.pgen.1004835,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004835,,
23,2015,Serum,Mainly phospholipids,MS (Biocrates),European,129,"7,478 + 1,182",31,"Draisma et al., 2015",26068415,10.1038/ncomms8208,https://pubmed.ncbi.nlm.nih.gov/26068415/,https://doi.org/10.1038/ncomms8208,https://www.nature.com/articles/ncomms8208,,
24,2015,Blood,Circulating trans fatty acids,Multiple,"7 cohorts of European-ancestry, replication in 3 non-European cohorts",>5-7 (study dependent),"8,013 + (1,082 + 669 + 657)",1 (31 SNPs in FADS1/2 cluster),"Mozaffarian et al., 2015",25646338,10.3945/ajcn.114.094557,https://pubmed.ncbi.nlm.nih.gov/25646338/,https://doi.org/10.3945/ajcn.114.094557,https://academic.oup.com/ajcn/article/101/2/398/4494397,platform orig: 'Diverse',
25,2015,Urine,NMR-derived metabolites and NMR peaks,NMR,European,"15,379 features (incl. ratios)","3,861 + 1,691",26,"Raffler et al., 2015",26352407,10.1371/journal.pgen.1005487,https://pubmed.ncbi.nlm.nih.gov/26352407/,https://doi.org/10.1371/journal.pgen.1005487,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005487,,
26,2015,Blood,Amino Acids and Acylcarnitines,MS,European,96,"2,107",16,"Burkhardt et al., 2015",26401656,10.1371/journal.pgen.1005510,https://pubmed.ncbi.nlm.nih.gov/26401656/,https://doi.org/10.1371/journal.pgen.1005510,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005510,,
27,2015,Plasma,"FIA-MS derived, mainly acylcarnitines and amino acids",MS,US population,63,"1,490 + 2,022",6,"Kraus et al., 2015",26540294,10.1371/journal.pgen.1005553,https://pubmed.ncbi.nlm.nih.gov/26540294/,https://doi.org/10.1371/journal.pgen.1005553,http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005553,,
28,2015,RBC,Fatty acids in RBCs,GC,Framingham Heart Study,14,"2,633",5,"Tintle et al., 2015",25500335,10.1016/j.plefa.2014.11.007,https://pubmed.ncbi.nlm.nih.gov/25500335/,https://doi.org/10.1016/j.plefa.2014.11.007,https://www.sciencedirect.com/science/article/pii/S0952327814001987,,
29,2016,Blood,"Lipoprotein lipids and subclasses, fatty acids, amino acids, glycolysis precursors",NMR (Nightingale),14 cohorts from Europe,123,"24,925",62,"Kettunen et al., 2016",27005778,10.1038/ncomms11122,https://pubmed.ncbi.nlm.nih.gov/27005778/,https://doi.org/10.1038/ncomms11122,https://www.nature.com/articles/ncomms11122,platform orig: 'NMR (Brainshake)',
30,2016,Plasma,Non-targeted MS,LC-MS,European-American,217,"2,076 + 1,528",4,"Rhee et al., 2016",27453504,10.1038/ncomms12360,https://pubmed.ncbi.nlm.nih.gov/27453504/,https://doi.org/10.1038/ncomms12360,https://www.nature.com/articles/ncomms12360,,
31,2016,Plasma,Non-targeted MS focusing on carnitine pathways with whole genome sequencing,LC-MS,European-American,16,"1,456",2,"Yazdani et al., 2016",27256581,10.1002/gepi.21980,https://pubmed.ncbi.nlm.nih.gov/27256581/,https://doi.org/10.1002/gepi.21980,https://onlinelibrary.wiley.com/doi/full/10.1002/gepi.21980,,
32,2016,Plasma,Non-targeted MS with exome sequencing,LC-MS (Metabolon),African-Americans,308,"1,361 + 508",4,"Yu et al., 2016",27602404,10.1126/sciadv.1600800,https://pubmed.ncbi.nlm.nih.gov/27602404/,https://doi.org/10.1126/sciadv.1600800,https://www.ncbi.nlm.nih.gov/pubmed/27602404,,
33,2016,Plasma,Caffeine metabolites,LC-MS/MS,six population-based studies of European ancestry,4 + 1 ratio,"9,876",4,"Cornelius et al., 2016",,,,,https://academic.oup.com/hmg/article/25/24/5472/2581117,platform orig: 'UPLC- MS/MS or UPLC- ESI-MS/MS'; PMID unresolved; DOI unresolved,review
36,2016,Plasma,Targeted and Non-targeted MS,MS (Biocrates + Metabolon),TwinsUK study,160 + 488,"1,001 twins",7,"Yet et al., 2016",27073872,10.1371/journal.pone.0153672,https://pubmed.ncbi.nlm.nih.gov/27073872/,https://doi.org/10.1371/journal.pone.0153672,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153672,platform orig: 'Biocrates + Metabolon',
34,2017,Plasma + RBC,"16:1n-7, 18:1n-7, 18:1n-9, 20:1n-9, 22:1n-9, 24:1n-9 fatty acids",GC,Meta-analysis of Chinese and European ancestries,6,"3,521 + 12,020",10,"Hu et al., 2017",,,,,http://www.jlr.org/content/58/5/974.long,biofluid orig: 'Plasma + RBCs'; platform orig: 'gas chromatography or gas-liquid chromatography'; PMID unresolved; DOI unresolved,review
35,2017,Plasma,Small peptide subset of the non-targeted Metabolon metabolomics platform,MS (Metabolon HD4),European and African Americans (ARIC study),25,"1,552 + 1,872",22,"de Vries et al., 2017",,,,,https://academic.oup.com/hmg/article/26/17/3442/3953984,platform orig: 'Metabolon HD4'; PMID unresolved; DOI unresolved,review
37,2017,Plasma,Non-targeted MS,MS (Metabolon HD4),TwinsUK study,644,"1,960 with three time points",101 (17 genes with potential LoF variants),"Long et al., 2017",28263315,10.1038/ng.3809,https://pubmed.ncbi.nlm.nih.gov/28263315/,https://doi.org/10.1038/ng.3809,https://www.nature.com/articles/ng.3809,platform orig: 'Metabolon HD4',
38,2018,Plasma,Non-targeted MS,MS (Metabolon HD4),Qatari,826,614 (exome seq) + 382 (2.5 Omni array),21 common + 12 rare variants,"Yousri et al., 2018",29362361,10.1038/s41467-017-01972-9,https://pubmed.ncbi.nlm.nih.gov/29362361/,https://doi.org/10.1038/s41467-017-01972-9,https://www.nature.com/articles/s41467-017-01972-9,platform orig: 'Metabolon HD4',
39,2018,Plasma,Amino acids,NMR,non-diabetic Finnish men,9,"8,545",5 common + 2 rare/gene-based,"Teslovich et al., 2018",,,,,https://academic.oup.com/hmg/article/27/9/1664/4899080,PMID unresolved; DOI unresolved,review
40,2018,Serum,Non-targeted MS,MS (Metabolon),ARIC,102,"1552 European-and 1872 African-Americans, using WES and WGS",7 novel lipid-related metabolite-genomic region associations,"Feofanova et al., Genetics, 2018",29610217,10.1534/genetics.118.300751,https://pubmed.ncbi.nlm.nih.gov/29610217/,https://doi.org/10.1534/genetics.118.300751,https://www.genetics.org/content/209/2/607,platform orig: 'Lipid-related metabolites from Metabolon platform',
41,2018,Plasma,"Amino acids, acylcarnitines, sphingolipids",MS,Singapore Chinese,162 + 70 ratios,"2,434",17,"Chai et al., ASHG 2018 abstract",,,,,https://eventpilot.us/web/page.php?nav=false&page=Session&project=ASHG18&id=20302107&plannersession=true,PMID unresolved; DOI unresolved,review
42,2019,Plasma,Lipidomics,MS (Lipotype),European,141 + 12 lipid classes,"2,045",35 lipidspecies- associated loci,"Tabassum et al., Nature Comms, 2019, preprint BioRxiv, 2018 (presented at ASHG 2018)",31551469,10.1038/s41467-019-11954-8,https://pubmed.ncbi.nlm.nih.gov/31551469/,https://doi.org/10.1038/s41467-019-11954-8,https://www.nature.com/articles/s41467-019-11954-8 ; https://www.biorxiv.org/content/early/2018/10/31/457960 ; https://eventpilot.us/web/page.php?nav=false&page=Session&project=ASHG18&id=10302103&plannersession=true,platform orig: 'Lipotype platform',
43,2019,Plasma + Serum,Glycine,Multiple (Metabolon HD4 + Biocrates p180 + Nightingale),European,1,"80,003",27,"Wittemans et al., 2019",30837465,10.1038/s41467-019-08936-1,https://pubmed.ncbi.nlm.nih.gov/30837465/,https://doi.org/10.1038/s41467-019-08936-1,https://www.nature.com/articles/s41467-019-08936-1,platform orig: 'Metabolon HD4 + Biocrates p180 + Nightingale',
44,2019,Serum,Non-targeted MS,MS (Metabolon HD4),Middle-aged individuals (45 to 64 years) from the ARIC study,122,"1,376","52 Loss of function variants (Exome sequencing, p<1E-6)","Yazdani et al., 2019",31113383,10.1186/s12864-019-5772-4,https://pubmed.ncbi.nlm.nih.gov/31113383/,https://doi.org/10.1186/s12864-019-5772-4,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-019-5772-4,platform orig: 'Metabolon HD4',
45,2019,?,NA,?,LIFE-Adult & LIFE-Heart studies,8 steroid hormones,"7,667",15 novel,"Pott et al., J Clin Endocrinol Metab. 2019",31169883,10.1210/jc.2019-00757,https://pubmed.ncbi.nlm.nih.gov/31169883/,https://doi.org/10.1210/jc.2019-00757,https://www.ncbi.nlm.nih.gov/pubmed/31169883,biofluid not specified in source; platform orig: 'NA',review
46,2019,Plasma,"Plasma triglycerides, phospholipids",LC-MS,"Leiden Longevity Study, Netherlands Twin Register, Erasmus Rucphen Family (ERF) study",90 lipids,"5,537",34 replicated + 11 novel,"Demirkan et al., bioRxiv 2019",,10.1101/621334,,https://doi.org/10.1101/621334,https://www.biorxiv.org/content/10.1101/621334v2,preprint/not in PubMed,
47,2019,Serum,Non-targeted MS,MS (Metabolon HD4),Elite athletes,751,490,"19 elite athlete mQTLs, 4 endurance mQTLs","Al-Khelaifi et al., Scientific Reports, 2019",31882771,10.1038/s41598-019-56496-7,https://pubmed.ncbi.nlm.nih.gov/31882771/,https://doi.org/10.1038/s41598-019-56496-7,https://www.nature.com/articles/s41598-019-56496-7,platform orig: 'Metabolon HD4',
48,2020,Urine,Non-targeted MS,MS (Metabolon HD2/HD4),Patients with reduced kidney function,"1,172","1,627",240,"Schlosser et al., Nature Genetics, 2020",31959995,10.1038/s41588-019-0567-8,https://pubmed.ncbi.nlm.nih.gov/31959995/,https://doi.org/10.1038/s41588-019-0567-8,https://www.nature.com/articles/s41588-019-0567-8,platform orig: 'Metabolon HD2/HD4',
49,2020,Saliva,Non-targeted MS,MS (Metabolon HD4),TwinsUK + SHIP,476,"1,419",14 metabolites at 11 loci,"Abhishek et al., Hum Mol Gen, 2020",31960908,10.1093/hmg/ddz308,https://pubmed.ncbi.nlm.nih.gov/31960908/,https://doi.org/10.1093/hmg/ddz308,https://doi.org/10.1093/hmg/ddz308,platform orig: 'Metabolon HD4',
50,2020,Serum,Non-targeted MS,MS (Metabolon HD4),two cohorts (Israeli),"1,170",413,68,"Bar et al., Nature, 2020",33177712,10.1038/s41586-020-2896-2,https://pubmed.ncbi.nlm.nih.gov/33177712/,https://doi.org/10.1038/s41586-020-2896-2,https://www.nature.com/articles/s41586-020-2896-2,platform orig: 'Metabolon HD4',
51,2020,Serum,"PUFA, omega-3, omega-6, and LA and DHA",NMR,"PREDIMED Plus trial, Valencia, Spain",5,426,1 genome-wide sign. locus (FADS1 region),"Coltell et al., Nutrients 2020",31991592,10.3390/nu12020310,https://pubmed.ncbi.nlm.nih.gov/31991592/,https://doi.org/10.3390/nu12020310,https://www.mdpi.com/2072-6643/12/2/310,,
52,2020,Serum,Non-targeted MS,MS (Metabolon HD4),Hispanic (Hispanic Community Health Study/Study of Latinos participants),640,"3,926",46,"Feofanova et al., AJHG 2020",33031748,10.1016/j.ajhg.2020.09.003,https://pubmed.ncbi.nlm.nih.gov/33031748/,https://doi.org/10.1016/j.ajhg.2020.09.003,https://www.cell.com/ajhg/fulltext/S0002-9297(20)30323-2,platform orig: 'Metabolon HD4',
54,2020,Plasma,Non-targeted MS,LC-MS/MS (in-house),FINRISK02 + replication in Framingham Heart Study,"11,067 features","7,013 + 2,886","118 loci associated with 2,319 features","Qin et al., medRxiv 2020",,10.1101/2020.08.01.20166413,,https://doi.org/10.1101/2020.08.01.20166413,https://www.medrxiv.org/content/10.1101/2020.08.01.20166413v1,platform orig: 'in-house LC-MS/MS platform for polar lipophilic metabolites'; preprint/not in PubMed,
56,2020,?,?,?,TOPMed,?,?,Multi-Ethnic Whole-Genome Sequencing Analysis of Human Metabolome Identifies 93 Novel Genetic Loci,"Bing Yu et al., ASHG 2020",,,,,https://nhlbiwgs.org/abstract-viewer-public,biofluid not specified in source; PMID unresolved; DOI unresolved,review
53,2021,CSF,Non-targeted MS,MS (Metabolon HD4),WADRC and WRAP Alzheimer's studies,338,689,16,"Panyard et al., Nature Comms, 2021, previously bioRxiv 2020",33437055,10.1038/s42003-020-01583-z,https://pubmed.ncbi.nlm.nih.gov/33437055/,https://doi.org/10.1038/s42003-020-01583-z,https://www.nature.com/articles/s42003-020-01583-z ; https://www.biorxiv.org/content/10.1101/2020.02.14.948398v1,biofluid orig: 'Cerebrospinal fluid (CSF)'; platform orig: 'Metabolon HD4',
55,2021,Serum,Direct Infusion High-Resolution Mass Spectrometry (DIHRMS),in-house,Pakistan Risk of Myocardial Infarction Study (PROMIS) + British blood donors from the INTERVAL study,340 lipid metabolites in PROMIS + 399 in INTERVAL,"5,662 in PROMIS + 13,814 in INTERVAL",253 lipidQTLs at 24 independent loci in PROMIS + 502 lipid QTLs at 38 loci in INTERVAL,"Harshfield et al., BMC Medicine 2021, preprint on medRxiv 2020",34503513,10.1186/s12916-021-02087-1,https://pubmed.ncbi.nlm.nih.gov/34503513/,https://doi.org/10.1186/s12916-021-02087-1,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-021-02087-1 ; https://www.medrxiv.org/content/10.1101/2020.10.16.20213520v1,platform orig: 'in-house platform described here',
57,2021,Blood,Multi-platform,Multiple (Biocrates p180 + Nightingale + Metabolon HD4),"Fenland, EPIC-Norfolk, INTERVAL",174,"86,507",499 associations at 144 loci,"Lotta et al., Nature Genetics, 2021, preprint bioRxiv, 2020",33414548,10.1038/s41588-020-00751-5,https://pubmed.ncbi.nlm.nih.gov/33414548/,https://doi.org/10.1038/s41588-020-00751-5,https://www.nature.com/articles/s41588-020-00751-5 ; https://www.biorxiv.org/content/10.1101/2020.02.03.932541v1,"platform orig: 'Biocrates p180, Nightingale NMR, Metabolon HD4'",
58,2021,Plasma,N-acyl ethanolamine and ceramide plasma lipidome,LC-MS/MS (lipidomics),"UK residents, families",9 N-acyl ethanolamine and 16 ceramide species,999 members of 196 British Caucasian families,~5,"McGurk et al., Human Mol Gen, 2021",33437986,10.1093/hmg/ddab002,https://pubmed.ncbi.nlm.nih.gov/33437986/,https://doi.org/10.1093/hmg/ddab002,https://academic.oup.com/hmg/article/30/6/500/6089115,platform orig: 'Targeted Lipidomics using UPLC/ESI-MS/MS',
59,2021,Plasma,Non-targeted MS,?,Han Chinese,"161 + 12,280 ratios","1,028 + 523",13,"Wang et al., Clinical and Translational Medicine, 2021",33634981,10.1002/ctm2.290,https://pubmed.ncbi.nlm.nih.gov/33634981/,https://doi.org/10.1002/ctm2.290,https://onlinelibrary.wiley.com/doi/full/10.1002/ctm2.290,platform orig: 'not specified',review
60,2021,Urine,Non-targeted MS,MS (Metabolon HD4),German Chronic Kidney Disease (GCKD) cohort,"1487 + 53,714 ratios","4,864 (4,795 for ratios)","420 associations (MAF<1%), 38 gene associations for rare variant tests (60 for ratios)","Cheng et al., Nature Communications, 2021",33574263,10.1038/s41467-020-20877-8,https://pubmed.ncbi.nlm.nih.gov/33574263/,https://doi.org/10.1038/s41467-020-20877-8,https://www.nature.com/articles/s41467-020-20877-8,platform orig: 'Metabolon HD4',
61,2021,Blood,Targeted & non-targeted MS (study also analyzed transciptomics & proteomics),MS (Biocrates p150 + Metabolon HD2),DIRECT study,163 (Biocrates) + 223 (Metabolon),"3,029",301 independent metabolite-QTLs,"Vinuela et al., medRxiv 2021",,10.1101/2021.03.26.21254347,,https://doi.org/10.1101/2021.03.26.21254347,https://www.medrxiv.org/content/10.1101/2021.03.26.21254347v1,platform orig: 'Biocrates p150 & Metabolon HD2'; preprint/not in PubMed,
62,2021,Serum,Non-targeted MS,MS (Metabolon HD4),African American Study of Kidney Disease and Hypertension,652,619,42,"Luo et al., Kidney Int., 2021",,,,,https://www.kidney-international.org/article/S0085-2538(21)00361-6/abstract,platform orig: 'Metabolon HD4'; PMID unresolved; DOI unresolved,review
63,2021,Urine,1H NMR,in-house,Caucasian,"1,276 features after QC",555,21,"Flitman et al., J. Proteome Res., 2021, preprint bioRxiv 2020",34699229,10.1021/acs.jproteome.1c00585,https://pubmed.ncbi.nlm.nih.gov/34699229/,https://doi.org/10.1021/acs.jproteome.1c00585,https://pubs.acs.org/doi/10.1021/acs.jproteome.1c00585 ; https://www.biorxiv.org/content/10.1101/2020.05.22.110197v1,,
64,2021,Plasma,UPLC–QTOFMS,?,Old Order Amish founder population,355 lipid species,650,"five rare Amish enriched loci, three of which are novel, replicated 7 previously known common loci","Montasser et al., bioRxiv 2021",,10.1101/2021.05.21.445208,,https://doi.org/10.1101/2021.05.21.445208,https://www.biorxiv.org/content/10.1101/2021.05.21.445208v1,platform orig: 'West Coast Metabolomics Center at University of California Davis'; platform field looks mislabeled in source; preprint/not in PubMed,review
67,2021,Plasma,"Lipoprotein lipids and subclasses, fatty acids, amino acids, glycolysis precursors",NMR (Nightingale),"NEO study, Leiden, Netherlands",148,"up to 4,734",several QTLs with fasting-to-postprandial-state changes,"Li-Gao et al. (Diabetes, 2021)",34610981,10.2337/db21-0397,https://pubmed.ncbi.nlm.nih.gov/34610981/,https://doi.org/10.2337/db21-0397,https://doi.org/10.2337/db21-0397,"biofluid orig: 'Plasma, before/after liquid meal'",
65,2022,Plasma,Targeted MS,MS (Biocrates p150),KORA study,151,"2,718",NA (mitochondrial DNA),"Aboulmaouahib et al. (Human Molecular Genetics, 2021)",34718574,10.1093/hmg/ddab312,https://pubmed.ncbi.nlm.nih.gov/34718574/,https://doi.org/10.1093/hmg/ddab312,https://doi.org/10.1093/hmg/ddab312,"biofluid orig: 'Plasma, mitochondrial DNA'; platform orig: 'Biocrates p150'",
66,2022,Plasma,Non-targeted MS,MS (Metabolon HD4),NIHR BioResource (only individuals of full European ancestry),722 named metabolites,"8,809",74 novel,"Hysi et al. (Metabolites, 2022)",35050183,10.3390/metabo12010061,https://pubmed.ncbi.nlm.nih.gov/35050183/,https://doi.org/10.3390/metabo12010061,https://www.mdpi.com/2218-1989/12/1/61,platform orig: 'Metabolon HD4',
68,2022,Plasma,Non-targeted MS,MS (Broad),Chronic Renal Insufficiency Cohort (CRIC) Study (822 White and 687 Black study participants),537,1678,45 mQTL at 19 loci,"Rhee et al. (Kidney Intl, 2022)",35120996,10.1016/j.kint.2022.01.014,https://pubmed.ncbi.nlm.nih.gov/35120996/,https://doi.org/10.1016/j.kint.2022.01.014,https://doi.org/10.1016/j.kint.2022.01.014,platform orig: 'Broad institute',
69,2022,Plasma,Non-targeted MS,MS (Metabolon HD4),"Men from the late-settlement region of Finland, bottle-necked population","1,391","6,136",303 novel association signals,"Yin et al. (Nat. Comms 2022), medRxiv 2021",35347128,10.1038/s41467-022-29143-5,https://pubmed.ncbi.nlm.nih.gov/35347128/,https://doi.org/10.1038/s41467-022-29143-5,https://www.nature.com/articles/s41467-022-29143-5 ; https://www.medrxiv.org/content/10.1101/2021.10.19.21265094v1,platform orig: 'Metabolon HD4',
70,2022,Serum,LC-MS,in-house,Korea Association REsource (KARE) project,64 (53 with pathway information),627,"32 (17 with glycine, 15 with dimethylglycine)","Jung et al. (Front. Genet., 2022)",,10.3389/fgene.2022.814412,,https://doi.org/10.3389/fgene.2022.814412,https://www.frontiersin.org/articles/10.3389/fgene.2022.814412/full,PMID unresolved,
71,2022,Plasma,NMR,NMR (Nightingale),UK Biobank,16,"94,464",213,"Smith et al., bioRxiv 2022",,10.1101/2022.04.02.486791,,https://doi.org/10.1101/2022.04.02.486791,https://www.biorxiv.org/content/10.1101/2022.04.02.486791v1,platform orig: 'Nightingale platform (limited to 16 selected metabolites)'; preprint/not in PubMed,
72,2022,Plasma,Non-targeted MS,MS (Metabolon HD4),Interval study,995,"2,805 WGS + 3,924 WES",40 novel associations implicating rare coding variants,"Bomba et al., AJHG 2022",,,,,https://www.sciencedirect.com/science/article/pii/S0002929722001574,platform orig: 'Metabolon HD4'; PMID unresolved; DOI unresolved,review
73,2022,Plasma,Non-targeted MS,MS (Metabolon HD4),Qatar Biobank,9 acetaminophen metabolites and 36 ratios between them,520,2,"Thareja et al., Metabolites, 2022",35736429,10.3390/metabo12060496,https://pubmed.ncbi.nlm.nih.gov/35736429/,https://doi.org/10.3390/metabo12060496,https://www.mdpi.com/2218-1989/12/6/496,"platform orig: 'Metabolon HD4, limited to acetaminophen metabolites'",
