row_id,Reference,orig_url,method,DOI,PMID,epmc_source,resolved_title,resolved_journal,resolved_year,status
25,"Raffler et al., 2015",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005487,doi,10.1371/journal.pgen.1005487,26352407,MED,Genome-Wide Association Study with Targeted and Non-targeted NMR Metabolomics Identifies 15 Novel Loci of Urinary Human Metabolic Individuality.,PLoS Genet,2015,resolved
26,"Burkhardt et al., 2015",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005510,doi,10.1371/journal.pgen.1005510,26401656,MED,Integration of Genome-Wide SNP Data and Gene-Expression Profiles Reveals Six Novel Loci and Regulatory Mechanisms for Amino Acids and Acylcarnitines in Whole Blood.,PLoS Genet,2015,resolved
27,"Kraus et al., 2015",http://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005553,doi,10.1371/journal.pgen.1005553,26540294,MED,Metabolomic Quantitative Trait Loci (mQTL) Mapping Implicates the Ubiquitin Proteasome System in Cardiovascular Disease Pathogenesis.,PLoS Genet,2015,resolved
28,"Tintle et al., 2015",https://www.sciencedirect.com/science/article/pii/S0952327814001987,epmc-authyear,10.1016/j.plefa.2014.11.007,25500335,MED,"A genome-wide association study of saturated, mono- and polyunsaturated red blood cell fatty acids in the Framingham Heart Offspring Study.",Prostaglandins Leukot Essent Fatty Acids,2015,resolved-fallback
29,"Kettunen et al., 2016",https://www.nature.com/articles/ncomms11122,doi,10.1038/ncomms11122,27005778,MED,Genome-wide study for circulating metabolites identifies 62 loci and reveals novel systemic effects of LPA.,Nat Commun,2016,resolved
30,"Rhee et al., 2016",https://www.nature.com/articles/ncomms12360,doi,10.1038/ncomms12360,27453504,MED,An exome array study of the plasma metabolome.,Nat Commun,2016,resolved
31,"Yazdani et al., 2016",https://onlinelibrary.wiley.com/doi/full/10.1002/gepi.21980,doi,10.1002/gepi.21980,27256581,MED,Identification of Rare Variants in Metabolites of the Carnitine Pathway by Whole Genome Sequencing Analysis.,Genet Epidemiol,2016,resolved
32,"Yu et al., 2016",https://www.ncbi.nlm.nih.gov/pubmed/27602404,pmid,10.1126/sciadv.1600800,27602404,MED,Loss-of-function variants influence the human serum metabolome.,Sci Adv,2016,resolved
33,"Cornelius et al., 2016",https://academic.oup.com/hmg/article/25/24/5472/2581117,none,,,,,,,needs-manual
34,"Hu et al., 2017",http://www.jlr.org/content/58/5/974.long,manual-flag,,,,,,2017,needs-manual
35,"de Vries et al., 2017",https://academic.oup.com/hmg/article/26/17/3442/3953984,manual-flag,,,,,,2017,needs-manual
36,"Yet et al., 2016",http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0153672,doi,10.1371/journal.pone.0153672,27073872,MED,Genetic Influences on Metabolite Levels: A Comparison across Metabolomic Platforms.,PLoS One,2016,resolved
37,"Long et al., 2017",https://www.nature.com/articles/ng.3809,doi,10.1038/ng.3809,28263315,MED,Whole-genome sequencing identifies common-to-rare variants associated with human blood metabolites.,Nat Genet,2017,resolved
38,"Yousri et al., 2018",https://www.nature.com/articles/s41467-017-01972-9,doi,10.1038/s41467-017-01972-9,29362361,MED,Whole-exome sequencing identifies common and rare variant metabolic QTLs in a Middle Eastern population.,Nat Commun,2018,resolved
39,"Teslovich et al., 2018",https://academic.oup.com/hmg/article/27/9/1664/4899080,manual-flag,,,,,,2018,needs-manual
40,"Feofanova et al., Genetics, 2018",https://www.genetics.org/content/209/2/607,epmc-authyear,10.1534/genetics.118.300751,29610217,MED,Sequence-Based Analysis of Lipid-Related Metabolites in a Multiethnic Study.,Genetics,2018,resolved-fallback
41,"Chai et al., ASHG 2018 abstract",https://eventpilot.us/web/page.php?nav=false&page=Session&project=ASHG18&id=20302107&plannersession=true,none,,,,,,,conference-abstract (no DOI)
42,"Tabassum et al., Nature Comms, 2019, preprint BioRxiv, 2018 (presented at ASHG 2018)",https://www.nature.com/articles/s41467-019-11954-8,doi,10.1038/s41467-019-11954-8,31551469,MED,Genetic architecture of human plasma lipidome and its link to cardiovascular disease.,Nat Commun,2019,resolved
43,"Wittemans et al., 2019",https://www.nature.com/articles/s41467-019-08936-1,doi,10.1038/s41467-019-08936-1,30837465,MED,Assessing the causal association of glycine with risk of cardio-metabolic diseases.,Nat Commun,2019,resolved
44,"Yazdani et al., 2019",https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-019-5772-4,doi,10.1186/s12864-019-5772-4,31113383,MED,Genome analysis and pleiotropy assessment using causal networks with loss of function mutation and metabolomics.,BMC Genomics,2019,resolved
45,"Pott et al., J Clin Endocrinol Metab. 2019",https://www.ncbi.nlm.nih.gov/pubmed/31169883,pmid,10.1210/jc.2019-00757,31169883,MED,Genetic Association Study of Eight Steroid Hormones and Implications for Sexual Dimorphism of Coronary Artery Disease.,J Clin Endocrinol Metab,2019,resolved
46,"Demirkan et al., bioRxiv 2019",https://www.biorxiv.org/content/10.1101/621334v2,doi,10.1101/621334,,PPR,"Genome-wide association study of plasma triglycerides, phospholipids and relation to cardio-metabolic risk factors","{'publisher': 'bioRxiv', 'yearOfPublication': 2019}",2019,resolved
47,"Al-Khelaifi et al., Scientific Reports, 2019",https://www.nature.com/articles/s41598-019-56496-7,doi,10.1038/s41598-019-56496-7,31882771,MED,Metabolic GWAS of elite athletes reveals novel genetically-influenced metabolites associated with athletic performance.,Sci Rep,2019,resolved
48,"Schlosser et al., Nature Genetics, 2020",https://www.nature.com/articles/s41588-019-0567-8,doi,10.1038/s41588-019-0567-8,31959995,MED,Genetic studies of urinary metabolites illuminate mechanisms of detoxification and excretion in humans.,Nat Genet,2020,resolved
49,"Abhishek et al., Hum Mol Gen, 2020",https://doi.org/10.1093/hmg/ddz308,doi,10.1093/hmg/ddz308,31960908,MED,Genome-wide scan identifies novel genetic loci regulating salivary metabolite levels.,Hum Mol Genet,2020,resolved
50,"Bar et al., Nature, 2020",https://www.nature.com/articles/s41586-020-2896-2,doi,10.1038/s41586-020-2896-2,33177712,MED,A reference map of potential determinants for the human serum metabolome.,Nature,2020,resolved
51,"Coltell et al., Nutrients 2020",https://www.mdpi.com/2072-6643/12/2/310,epmc-authyear,10.3390/nu12020310,31991592,MED,Genome-Wide Association Study for Serum Omega-3 and Omega-6 Polyunsaturated Fatty Acids: Exploratory Analysis of the Sex-Specific Effects and Dietary Modulation in Mediterranean Subjects with Metabolic Syndrome.,Nutrients,2020,resolved-fallback
52,"Feofanova et al., AJHG 2020",https://www.cell.com/ajhg/fulltext/S0002-9297(20)30323-2,epmc-authyear,10.1016/j.ajhg.2020.09.003,33031748,MED,A Genome-wide Association Study Discovers 46 Loci of the Human Metabolome in the Hispanic Community Health Study/Study of Latinos.,Am J Hum Genet,2020,resolved-fallback
53,"Panyard et al., Nature Comms, 2021, previously bioRxiv 2020",https://www.nature.com/articles/s42003-020-01583-z,doi,10.1038/s42003-020-01583-z,33437055,MED,Cerebrospinal fluid metabolomics identifies 19 brain-related phenotype associations.,Commun Biol,2021,resolved
54,"Qin et al., medRxiv 2020",https://www.medrxiv.org/content/10.1101/2020.08.01.20166413v1,doi,10.1101/2020.08.01.20166413,,PPR,Genome-wide association and Mendelian randomization analysis prioritizes bioactive metabolites with putative causal effects on common diseases,"{'publisher': 'medRxiv', 'yearOfPublication': 2020}",2020,resolved
55,"Harshfield et al., BMC Medicine 2021, preprint on medRxiv 2020",https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-021-02087-1,doi,10.1186/s12916-021-02087-1,34503513,MED,Genome-wide analysis of blood lipid metabolites in over 5000 South Asians reveals biological insights at cardiometabolic disease loci.,BMC Med,2021,resolved
56,"Bing Yu et al., ASHG 2020",https://nhlbiwgs.org/abstract-viewer-public,none,,,,,,,conference-abstract (no DOI)
57,"Lotta et al., Nature Genetics, 2021, preprint bioRxiv, 2020",https://www.nature.com/articles/s41588-020-00751-5,doi,10.1038/s41588-020-00751-5,33414548,MED,A cross-platform approach identifies genetic regulators of human metabolism and health.,Nat Genet,2021,resolved
58,"McGurk et al., Human Mol Gen, 2021",https://academic.oup.com/hmg/article/30/6/500/6089115,epmc-authyear,10.1093/hmg/ddab002,33437986,MED,Heritability and family-based GWAS analyses of the N-acyl ethanolamine and ceramide plasma lipidome.,Hum Mol Genet,2021,resolved-fallback
59,"Wang et al., Clinical and Translational Medicine, 2021",https://onlinelibrary.wiley.com/doi/full/10.1002/ctm2.290,doi,10.1002/ctm2.290,33634981,MED,Genome-wide association study of metabolites in patients with coronary artery disease identified novel metabolite quantitative trait loci.,Clin Transl Med,2021,resolved
60,"Cheng et al., Nature Communications, 2021",https://www.nature.com/articles/s41467-020-20877-8,doi,10.1038/s41467-020-20877-8,33574263,MED,Rare genetic variants affecting urine metabolite levels link population variation to inborn errors of metabolism.,Nat Commun,2021,resolved
61,"Vinuela et al., medRxiv 2021",https://www.medrxiv.org/content/10.1101/2021.03.26.21254347v1,doi,10.1101/2021.03.26.21254347,,PPR,Genetic analysis of blood molecular phenotypes reveals regulatory networks affecting complex traits: a DIRECT study,"{'publisher': 'medRxiv', 'yearOfPublication': 2021}",2021,resolved
62,"Luo et al., Kidney Int., 2021",https://www.kidney-international.org/article/S0085-2538(21)00361-6/abstract,manual-flag,,,,,,2021,needs-manual
63,"Flitman et al., J. Proteome Res., 2021, preprint bioRxiv 2020",https://pubs.acs.org/doi/10.1021/acs.jproteome.1c00585,doi,10.1021/acs.jproteome.1c00585,34699229,MED,Untargeted Metabolome- and Transcriptome-Wide Association Study Suggests Causal Genes Modulating Metabolite Concentrations in Urine.,J Proteome Res,2021,resolved
64,"Montasser et al., bioRxiv 2021",https://www.biorxiv.org/content/10.1101/2021.05.21.445208v1,doi,10.1101/2021.05.21.445208,,PPR,Leveraging a founder population to identify novel rare-population genetic determinants of lipidome,"{'publisher': 'bioRxiv', 'yearOfPublication': 2021}",2021,resolved
65,"Aboulmaouahib et al. (Human Molecular Genetics, 2021)",https://doi.org/10.1093/hmg/ddab312,doi,10.1093/hmg/ddab312,34718574,MED,First mitochondrial genome-wide association study with metabolomics.,Hum Mol Genet,2022,resolved
66,"Hysi et al. (Metabolites, 2022)",https://www.mdpi.com/2218-1989/12/1/61,mdpi-url,10.3390/metabo12010061,35050183,MED,Metabolome Genome-Wide Association Study Identifies 74 Novel Genomic Regions Influencing Plasma Metabolites Levels.,Metabolites,2022,resolved-mdpi
67,"Li-Gao et al. (Diabetes, 2021)",https://doi.org/10.2337/db21-0397,doi,10.2337/db21-0397,34610981,MED,Genetic Studies of Metabolomics Change After a Liquid Meal Illuminate Novel Pathways for Glucose and Lipid Metabolism.,Diabetes,2021,resolved
68,"Rhee et al. (Kidney Intl, 2022)",https://doi.org/10.1016/j.kint.2022.01.014,doi,10.1016/j.kint.2022.01.014,35120996,MED,Trans-ethnic genome-wide association study of blood metabolites in the Chronic Renal Insufficiency Cohort (CRIC) study.,Kidney Int,2022,resolved
69,"Yin et al. (Nat. Comms 2022), medRxiv 2021",https://www.nature.com/articles/s41467-022-29143-5,doi,10.1038/s41467-022-29143-5,35347128,MED,Genome-wide association studies of metabolites in Finnish men identify disease-relevant loci.,Nat Commun,2022,resolved
70,"Jung et al. (Front. Genet., 2022)",https://www.frontiersin.org/articles/10.3389/fgene.2022.814412/full,doi,10.3389/fgene.2022.814412,,,,,,partial
71,"Smith et al., bioRxiv 2022",https://www.biorxiv.org/content/10.1101/2022.04.02.486791v1,doi,10.1101/2022.04.02.486791,,PPR,Integrative analysis of metabolite GWAS illuminates the molecular basis of pleiotropy and genetic correlation,"{'publisher': 'bioRxiv', 'yearOfPublication': 2022}",2022,resolved
72,"Bomba et al., AJHG 2022",https://www.sciencedirect.com/science/article/pii/S0002929722001574,manual-flag,,,,,,2022,needs-manual
73,"Thareja et al., Metabolites, 2022",https://www.mdpi.com/2218-1989/12/6/496,epmc-authyear,10.3390/metabo12060496,35736429,MED,Ratios of Acetaminophen Metabolites Identify New Loci of Pharmacogenetic Relevance in a Genome-Wide Association Study.,Metabolites,2022,resolved-fallback
74,"Suhre et al., medRxiv 2022",https://www.medrxiv.org/content/10.1101/2022.06.12.22276286v1,doi,10.1101/2022.06.12.22276286,,PPR,Lipoprotein profile and metabolic fine-mapping of genetic lipid risk loci,"{'publisher': 'medRxiv', 'yearOfPublication': 2022}",2022,resolved
75,"König et al., Metabolites 2022",https://www.mdpi.com/2218-1989/12/7/604,mdpi-url,10.3390/metabo12070604,35888728,MED,Whole Exome Sequencing Enhanced Imputation Identifies 85 Metabolite Associations in the Alpine CHRIS Cohort.,Metabolites,2022,resolved-mdpi
76,"Francis et al., medRxiv 2022",https://www.medrxiv.org/content/10.1101/2022.05.27.22275343v2,doi,10.1101/2022.05.27.22275343,,PPR,"Fifty-one novel and replicated GWAS loci for polyunsaturated and monounsaturated fatty acids in 124,024 Europeans","{'publisher': 'medRxiv', 'yearOfPublication': 2022}",2022,resolved
77,"Karjalainen et al., medRxiv 2022",https://www.medrxiv.org/content/10.1101/2022.10.20.22281089v1,doi,10.1101/2022.10.20.22281089,,PPR,Genome-wide characterization of circulating metabolic biomarkers reveals substantial pleiotropy and novel disease pathways,"{'publisher': 'medRxiv', 'yearOfPublication': 2022}",2022,resolved
78,"Surendran et al., Nature Medicine 2022",https://www.nature.com/articles/s41591-022-02046-0,doi,10.1038/s41591-022-02046-0,36357675,MED,Rare and common genetic determinants of metabolic individuality and their effects on human health.,Nat Med,2022,resolved
79,"Asiimwe et al., Frontiers Pharmacology, 2022",https://www.frontiersin.org/articles/10.3389/fphar.2022.967082/full,doi,10.3389/fphar.2022.967082,,,,,,partial
80,"Iwasaki et al., iScience 2023",https://www.cell.com/iscience/fulltext/S2589-0042(22)02011-9,manual-flag,,,,,,2023,needs-manual
81,"Chen et al., Nature Genetics 2023",https://www.nature.com/articles/s41588-022-01270-1,doi,10.1038/s41588-022-01270-1,36635386,MED,Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases.,Nat Genet,2023,resolved
82,"Tahir et al., Nature Comms 2022",https://www.nature.com/articles/s41467-022-32275-3,doi,10.1038/s41467-022-32275-3,35995766,MED,Whole Genome Association Study of the Plasma Metabolome Identifies Metabolites Linked to Cardiometabolic Disease in Black Individuals.,Nat Commun,2022,resolved
83,"Moore et al., JBC 2022",https://www.jbc.org/article/S0021-9258(22)01149-8/fulltext,manual-flag,,,,,,2022,needs-manual
84,"Liu et al., Advanced Science 2023",https://onlinelibrary.wiley.com/doi/10.1002/advs.202300148,doi,10.1002/advs.202300148,37013465,MED,Metabolome-Based Genome-Wide Association Study of Duck Meat Leads to Novel Genetic and Biochemical Insights.,Adv Sci (Weinh),2023,resolved
85,"Schlosser et al., Nat. Genet. 2023",https://www.nature.com/articles/s41588-023-01409-8,doi,10.1038/s41588-023-01409-8,37277652,MED,Genetic studies of paired metabolomes reveal enzymatic and transport processes at the interface of plasma and urine.,Nat Genet,2023,resolved
86,"Valo et al., medRxiv 2023",https://www.medrxiv.org/content/10.1101/2023.12.20.23300206v1,doi,10.1101/2023.12.20.23300206,,PPR,Genome-wide characterization of 54 urinary metabolites reveals molecular impact of kidney function,"{'publisher': 'medRxiv', 'yearOfPublication': 2023}",2023,resolved
87,"Liu et al., medRxiv 2023",https://www.medrxiv.org/content/10.1101/2023.11.26.23299022v1,doi,10.1101/2023.11.26.23299022,,PPR,"Multi-trait genome-wide association study in 34,394 Chinese women reveals the genetic architecture of plasma metabolites during pregnancy","{'publisher': 'medRxiv', 'yearOfPublication': 2023}",2023,resolved
88,"Ottensmann et al., Nat. Comm. 2023",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10618167/,pmcid,10.1038/s41467-023-42532-8,37907536,MED,Genome-wide association analysis of plasma lipidome identifies 495 genetic associations.,Nat Commun,2023,resolved
89,"Rhee et al., Commun. Biol. 2023",https://www.nature.com/articles/s42003-023-05159-5,doi,10.1038/s42003-023-05159-5,37524825,MED,A genome-wide association study identifies 41 loci associated with eicosanoid levels.,Commun Biol,2023,resolved
90,"Wang et al., pre-print on Research Square, 2023",https://doi.org/10.21203/rs.3.rs-2923409/v1,doi,10.21203/rs.3.rs-2923409,,,,,,partial
91,"Westra et al., PLEFA 2023",https://www.plefa.com/article/S0952-3278(23)00046-7/fulltext,manual-flag,,,,,,2023,needs-manual
92,"Daubney et al., Crit. Care Expl. 2024",https://journals.lww.com/ccejournal/fulltext/2024/01000/a_genome_wide_association_study_of_serum.9.aspx,epmc-authyear,10.1097/cce.0000000000001030,38239409,MED,A Genome-Wide Association Study of Serum Metabolite Profiles in Septic Shock Patients.,Crit Care Explor,2024,resolved-fallback
93,"Karjalainen et al., Nature 2024",https://www.nature.com/articles/s41586-024-07148-y,doi,10.1038/s41586-024-07148-y,38448586,MED,Genome-wide characterization of circulating metabolic biomarkers.,Nature,2024,resolved
94,"Tambets et al., medRxiv 2024",https://www.medrxiv.org/content/10.1101/2024.10.15.24315557v2,doi,10.1101/2024.10.15.24315557,,PPR,"Genome-wide association study for circulating metabolic traits in 619,372 individuals","{'publisher': 'medRxiv', 'yearOfPublication': 2024}",2024,resolved
95,"Zoodsma et al., medRxiv 2025",https://www.medrxiv.org/content/10.1101/2025.01.30.25321073v1,doi,10.1101/2025.01.30.25321073,,PPR,A genetic map of human metabolism across the allele frequency spectrum,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",2025,resolved
96,"Valo et al., Nat. Comms 2025",https://www.nature.com/articles/s41467-024-55182-1,doi,10.1038/s41467-024-55182-1,39746953,MED,Genome-wide characterization of 54 urinary metabolites reveals molecular impact of kidney function.,Nat Commun,2025,resolved
97,"Feofanova et al., Nat. Comms 2023",https://www.nature.com/articles/s41467-023-38800-2,doi,10.1038/s41467-023-38800-2,37253714,MED,Whole-Genome Sequencing Analysis of Human Metabolome in Multi-Ethnic Populations.,Nat Commun,2023,resolved
98,"Faquih et al., medRxiv 2024",https://www.medrxiv.org/content/10.1101/2024.10.02.24314800v3,doi,10.1101/2024.10.02.24314800,,PPR,Genome-wide Association Studies of Missing Metabolite Measures: Results From Two Population-based Studies,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}",2024,resolved
