score,cat,signals,penalties,year,source,pmid,doi,journal,title,authors,first_pdate,abstract
21,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title,,2024,MED,39317738,10.1038/s41588-024-01896-3,Nature genetics,"Statistically and functionally fine-mapped blood eQTLs and pQTLs from 1,405 humans reveal distinct regulation patterns and disease relevance.","Wang QS, Hasegawa T, Namkoong H, Saiki R, Edahiro R, Sonehara K, Tanaka H, Azekawa S, Chubachi S, Takahashi Y, Sakaue S, Namba S, Yamamoto K, Shiraishi Y, Chiba K, Tanaka H, Makishima H, Nannya Y, Zhang Z, Tsujikawa R, Koike R, Takano T, Ishii M, Kimura A, Inoue F, Kanai T, Fukunaga K, Ogawa S, Imoto S, Miyano S, Okada Y, Japan COVID-19 Task Force.",2024-09-24,"Studying the genetic regulation of protein expression (through protein quantitative trait loci (pQTLs)) offers a deeper understanding of regulatory variants uncharacterized by mRNA expression regulation (expression QTLs (eQTLs)) studies. Here we report cis-eQTL and cis-pQTL statistical fine-mapping from 1,405 genotyped samples with blood mRNA and 2,932 plasma samples of protein expression, as part of the Japan COVID-19 Task Force (JCTF). Fine-mapped eQTLs (n = 3,464) were enriched for 932 variants validated with a massively parallel reporter assay. Fine-mapped pQTLs (n = 582) were enriched for"
21,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title,,2024,MED,39291803,10.1002/cam4.70247,Cancer medicine,Identification of novel pQTL-SNPs associated with lung adenocarcinoma risk: A multi-stage study.,"Wu Y, Xu H, Mao L, Zhao R, Chu J, Huang L, Zhang W, Liu Y, Chen Q, Tao X, Li S, Zhou S, Ning A, Li Z, Tian T, Zhang L, Cui J, Tian G, Chu M.",2024-09-01,"<h4>Background and objective</h4>To explore the association between protein quantitative trait loci (pQTL-SNPs) and the risk of LUAD.<h4>Methods</h4>""Blood +"" high depth blood proteomics analysis was performed on plasma from female LUAD patients and female healthy controls, and combined with proteomics data from tumors and adjacent non-tumor tissues of female LUAD patients to screen proteins uniformly expressed in plasma and tissues. pQTL-SNPs were then screened through multiple databases and subjected to multilevel screening. The associations between selected pQTL-SNPs and LUAD risk were eval"
20,likely_primary,prot:title|gwas:title|denovo-pqtl|nproteins,,2026,PPR,,10.64898/2026.03.17.712047,"{'publisher': 'bioRxiv', 'yearOfPublication': 2026}",The impact of low-frequency genetic variants on serum protein levels,"Bjarnadottir H, Jonmundsson T, Ingvarsdottir HK, Frick EA, Finkel N, Loureiro JJ, Launer LJ, Aspelund T, Chen Y, Speliotes EK, Orth AP, Smith AV, Emilsson V, Gudnason V, Gudmundsdottir V.",2026-03-18,"<h4>Summary</h4>  The mapping of protein quantitative trait loci (pQTLs) can provide molecular links between genotype and phenotype. Most such studies focus on common variants, but the effects of low-frequency (LF) variants remain underexplored. Focusing on cis-pQTLs, we integrated serum measurements of 7,596 proteins with genomic data, including LF variants (minor allele frequency [MAF] 0.1-1%), in 5,291 Icelanders to identify independent cis-pQTLs for 2,166 SOMAmers. Incorporating LF variants increased the number of detected genetic signals per protein, demonstrating widespread allelic heter"
20,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|nproteins,,2025,PPR,,10.1101/2025.08.12.25333522,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",Nanoparticle enriched mass spectrometry proteomics in British South Asians identifies novel variant-protein-disease mechanisms,"Pietzner M, Williamson A, Hunt KA, Koprulu M, Kohleick L, Demircan K, Genes & Health Research Team, Finer S, Zanini JC, van Heel DA, Langenberg C.",2025-08-13,"<h4>ABSTRACT</h4>  Understanding genetic variation underlying differences in plasma protein levels can elucidate human disease mechanisms, but prior evidence was almost entirely derived from white Europeans using protein-preselected affinity reagents. Here, we integrate exome sequencing and common non-coding variation with untargeted nanoparticle enriched mass spectrometry (MS)-based plasma proteomics (Seer Proteograph XT: n=8067 protein groups) in >1,400 British-Bangladeshi and British-Pakistani individuals. We gain quantitatively and qualitatively different insights compared to two affinity-"
20,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|nproteins,,2024,MED,38527854,10.1093/brain/awae090,Brain : a journal of neurology,Connecting dementia risk loci to the CSF proteome identifies pathophysiological leads for dementia.,"Reus LM, Jansen IE, Tijms BM, Visser PJ, Tesi N, van der Lee SJ, Vermunt L, Peeters CFW, De Groot LA, Hok-A-Hin YS, Chen-Plotkin A, Irwin DJ, Hu WT, Meeter LH, van Swieten JC, Holstege H, Hulsman M, Lemstra AW, Pijnenburg YAL, van der Flier WM, Teunissen CE, Del Campo Milan M.",2024-10-01,"Genome-wide association studies have successfully identified many genetic risk loci for dementia, but exact biological mechanisms through which genetic risk factors contribute to dementia remains unclear. Integrating CSF proteomic data with dementia risk loci could reveal intermediate molecular pathways connecting genetic variance to the development of dementia. We tested to what extent effects of known dementia risk loci can be observed in CSF levels of 665 proteins [proximity extension-based (PEA) immunoassays] in a deeply-phenotyped mixed memory clinic cohort [n = 502, mean age (standard de"
20,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|nproteins,,2025,MED,39984443,10.1038/s41467-025-56935-2,Nature communications,Comparative studies of 2168 plasma proteins measured by two affinity-based platforms in 4000 Chinese adults.,"Wang B, Pozarickij A, Mazidi M, Wright N, Yao P, Said S, Iona A, Kartsonaki C, Fry H, Lin K, Chen Y, Du H, Avery D, Schmidt-Valle D, Yu C, Sun D, Lv J, Hill M, Li L, Bennett DA, Collins R, Walters RG, Clarke R, Millwood IY, Chen Z, China Kadoorie Biobank Collaborative Group.",2025-02-21,"Proteomics offers unique insights into human biology and drug development, but few studies have directly compared the utility of different proteomics platforms. We measured plasma levels of 2168 proteins in 3976 Chinese adults using both Olink Explore and SomaScan platforms. The correlation of protein levels between platforms was modest (median rho = 0.29), with protein abundance and data quality parameters being key factors influencing correlation. For 1694 proteins with one-to-one matched reagents, 765 Olink and 513 SomaScan proteins had cis-pQTLs, including 400 with colocalising cis-pQTLs. "
20,likely_primary,prot:title|gwas:title|denovo-pqtl|nproteins,,2024,PPR,,10.1101/2024.09.27.24314500,"{'publisher': 'medRxiv', 'yearOfPublication': 2024}",Ancestrally diverse genome-wide association analysis highlights ancestry-specific differences in genetic regulation of plasma protein levels,"Sarnowski C, Ma J, Nguyen NQH, Hoogeveen RC, Ballantyne CM, Coresh J, Morrison AC, Chatterjee N, Boerwinkle E, Yu B.",2024-09-28,"Fully characterizing the genetic architecture of circulating proteins in multi-ancestry populations provides an unprecedented opportunity to gain insights into the etiology of complex diseases. We characterized and contrasted the genetic associations of plasma proteomes in 9,455 participants of European and African (19.8%) ancestry from the Atherosclerosis Risk in Communities Study. Of 4,651 proteins, 1,408 and 2,565 proteins had protein-quantitative trait loci (pQTLs) identified in African and European ancestry respectively, and twelve unreported potentially causal protein-disease relationshi"
20,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|nproteins,,2023,PPR,,10.1101/2023.12.01.23299236,"{'publisher': 'medRxiv', 'yearOfPublication': 2023}","Comparative studies of genetic and phenotypic associations for 2,168 plasma proteins measured by two affinity-based platforms in 4,000 Chinese adults","Wang B, Pozarickij A, Mazidi M, Wright N, Yao P, Said S, Iona A, Kartsonaki C, Fry H, Lin K, Chen Y, Du H, Avery D, Schmidt DV, Yu C, Sun D, Lv J, Hill M, Li L, Bennett DA, Collins R, Walters RG, Clarke R, Millwood IY, Chen Z.",2023-12-01,"Proteomics offers unique insights into human biology and drug development, but few studies have directly compared the utility of different proteomics platforms. We measured 2,168 plasma proteins in 3,976 Chinese adults using both OLINK and SomaScan platforms and compared their genetic determinants and associations with traits and disease risk. For 1,694 proteins with one-to-one matched reagents, there was a modest between platform correlation (median rho=0.20). OLINK-proteins had fewer trans- pQTLs (766 vs 812 proteins) but more cis- pQTLs (725 vs 565) than SomaScan-proteins, including 342 wit"
20,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|nproteins,,2024,MED,39316441,10.1172/jci181802,The Journal of clinical investigation,Proteogenomic analysis integrated with electronic health records data reveals disease-associated variants in Black Americans.,"Tahir UA, Barber JL, Cruz DE, Kars ME, Deng S, Tuftin B, Gillman MG, Benson MD, Robbins JM, Chen ZZ, Rao P, Katz DH, Farrell L, Sofer T, Hall ME, Ekunwe L, Tracy RP, Durda P, Taylor KD, Liu Y, Johnson WC, Guo X, Chen YI, Manichaikul AW, Jain D, NHLBI Trans-Omics for Precision Medicine Consortium, Wang TJ, Reiner AP, Natarajan P, Itan Y, Rich SS, Rotter JI, Wilson JG, Raffield LM, Gerszten RE.",2024-09-24,"BACKGROUNDMost GWAS of plasma proteomics have focused on White individuals of European ancestry, limiting biological insight from other ancestry-enriched protein quantitative loci (pQTL).METHODSWe conducted a discovery GWAS of approximately 3,000 plasma proteins measured by the antibody-based Olink platform in 1,054 Black adults from the Jackson Heart Study (JHS) and validated our findings in the Multi-Ethnic Study of Atherosclerosis (MESA). The genetic architecture of identified pQTLs was further explored through fine mapping and admixture association analysis. Finally, using our pQTL finding"
19,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|platform,MR,2025,PPR,,10.1101/2025.06.30.662294,"{'publisher': 'bioRxiv', 'yearOfPublication': 2025}",Multi-Tissue Profiling Reveals tissue-specific protein regulation and relationships Between Protein Quantitative Trait Loci (pQTLs) and Cardiometabolic Disease,"Hartley AE, Sukhavasi K, Hu S, Traylor M, Gonzalez-Ramirez M, Hanghøj KE, Talukdar H, Ruusalepp A, Björkegren E, Björkegren JL, Howson JM, Jamshidi Y.",2025-07-04,"Integrating genetic data with protein levels, known as protein quantitative trait loci (pQTLs), can enhance our understanding of disease mechanisms and provide actionable insights for drug discovery, by guiding the direction of therapeutic interventions, clarifying mechanisms of action, and predicting potential side effects. However, most pQTL studies have focused on the plasma proteome, overlooking tissue-specific effects. Here, we investigate the plasma and tissue proteome and derive tissue-specific pQTLs in a unique dataset derived from a cohort of 284 STARNET patients, predominantly male, "
18,likely_primary,prot:title|gwas:title|denovo-pqtl|platform|nproteins,MR,2024,MED,38724566,10.1038/s41380-024-02576-8,Molecular psychiatry,Genetic regulation of human brain proteome reveals proteins implicated in psychiatric disorders.,"Luo J, Li L, Niu M, Kong D, Jiang Y, Poudel S, Shieh AW, Cheng L, Giase G, Grennan K, White KP, Chen C, Wang SH, Pinto D, Wang Y, Liu C, Peng J, Wang X.",2024-05-09,"Psychiatric disorders are highly heritable yet polygenic, potentially involving hundreds of risk genes. Genome-wide association studies have identified hundreds of genomic susceptibility loci with susceptibility to psychiatric disorders; however, the contribution of these loci to the underlying psychopathology and etiology remains elusive. Here we generated deep human brain proteomics data by quantifying 11,608 proteins across 268 subjects using 11-plex tandem mass tag coupled with two-dimensional liquid chromatography-tandem mass spectrometry. Our analysis revealed 788 cis-acting protein quan"
18,likely_primary,prot:title|gwas:abs|denovo-pqtl|cohort|nproteins,,2024,MED,38750076,10.1038/s41467-024-48017-6,Nature communications,Identifying proteomic risk factors for cancer using prospective and exome analyses of 1463 circulating proteins and risk of 19 cancers in the UK Biobank.,"Papier K, Atkins JR, Tong TYN, Gaitskell K, Desai T, Ogamba CF, Parsaeian M, Reeves GK, Mills IG, Key TJ, Smith-Byrne K, Travis RC.",2024-05-15,"The availability of protein measurements and whole exome sequence data in the UK Biobank enables investigation of potential observational and genetic protein-cancer risk associations. We investigated associations of 1463 plasma proteins with incidence of 19 cancers and 9 cancer subsites in UK Biobank participants (average 12 years follow-up). Emerging protein-cancer associations were further explored using two genetic approaches, cis-pQTL and exome-wide protein genetic scores (exGS). We identify 618 protein-cancer associations, of which 107 persist for cases diagnosed more than seven years aft"
18,likely_primary,prot:title|gwas:abs|denovo-pqtl|cohort|nproteins,,2025,MED,39579765,10.1016/j.cell.2024.10.045,Cell,"Atlas of the plasma proteome in health and disease in 53,026 adults.","Deng YT, You J, He Y, Zhang Y, Li HY, Wu XR, Cheng JY, Guo Y, Long ZW, Chen YL, Li ZY, Yang L, Zhang YR, Chen SD, Ge YJ, Huang YY, Shi LM, Dong Q, Mao Y, Feng JF, Cheng W, Yu JT.",2024-11-22,"Large-scale proteomics studies can refine our understanding of health and disease and enable precision medicine. Here, we provide a detailed atlas of 2,920 plasma proteins linking to diseases (406 prevalent and 660 incident) and 986 health-related traits in 53,026 individuals (median follow-up: 14.8 years) from the UK Biobank, representing the most comprehensive proteome profiles to date. This atlas revealed 168,100 protein-disease associations and 554,488 protein-trait associations. Over 650 proteins were shared among at least 50 diseases, and over 1,000 showed sex and age heterogeneity. Furt"
17,likely_primary,prot:title|gwas:title|denovo-pqtl,,2026,MED,42054495,10.1126/scitranslmed.adz2016,Science translational medicine,Low overlap of plasma and CSF protein quantitative trait loci affects protein discovery for neurological disease.,"Western D, Yang C, Timsina J, Liu M, Wang C, Campbell MC, Kotzbauer P, Perlmutter JS, Schindler SE, Morris JC, Holtzman DM, Alvarez I, Pastor P, Wyss-Coray T, Marquié M, Cano A, Sung YJ, de Rojas I, Ruiz A, Budde J, Fernandez MV, Tarawneh R, Ibanez L, Cruchaga C.",2026-04-29,"Plasma protein quantitative trait loci (pQTLs) have been integrated with genetic studies to prioritize proteins implicated in numerous human diseases. However, limited interaction between plasma and the central nervous system decreases the fluid's relevance for neurological disease. We compared the pQTL landscapes between plasma and cerebrospinal fluid (CSF), detecting widespread differences across fluids that translate to the identification and prioritization of proteins and pathways implicated in neurological disorders. Of almost 5000 CSF and plasma pQTLs, fewer than 30% were present in both"
17,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|cohort,MR,2026,MED,41814035,10.1007/s00210-026-05175-2,Naunyn-Schmiedeberg's archives of pharmacology,"Constructing a protein-protein interaction network for autoimmune liver diseases by integrating pQTL, rQTL, and mediation analyses.","Tian D, Yang Z, Zhao L, Zhao H, Sang X, Du S, Luo Y, Zhang L, Xu Y, Lu X.",2026-03-12,"Autoimmune liver diseases (AILDs), including primary biliary cholangitis (PBC), primary sclerosing cholangitis (PSC), and autoimmune hepatitis (AIH), pose significant diagnostic and therapeutic challenges due to poorly understood mechanisms. While most studies focus on absolute protein levels, protein-protein ratios (PPRs), reflecting the relative abundance of paired plasma proteins, emerge as critical yet understudied biomarkers for decoding disease-specific network perturbations. To harness this potential, we integrated protein quantitative trait loci (pQTLs), ratio QTLs (rQTLs), and mediati"
17,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|cohort,MR,2026,MED,41582592,10.2174/0109298673381624251020065846,Current medicinal chemistry,"CXCL5/CXCR2 Axis Related to Neutrophilic Inflammation in Ulcerative Colitis: A Comprehensive Analysis Integrating eQTL, pQTL, and Transcriptome Data.","Feng Y, Xv Y, Shan J, Guo E, Lin J, Pan H, Dong M, Mo J.",2026-01-16,"<h4>Background</h4>An excessive inflammatory response plays a central role in the pathogenesis of ulcerative colitis (UC), but the specific cytokines involved remain unclear. This study aimed to identify inflammatory factors associated with UC and explore the possible mechanisms of the identified targets.<h4>Methods</h4>Protein quantitative trait loci (pQTLs) and expression quantitative trait loci (eQTLs) for inflammatory cytokines were obtained from a genome-wide pQTL study and the eQTL consortium, respectively. Summary data for UC from the exploration and validation cohorts were derived from"
17,likely_primary,prot:abs|gwas:title|denovo-pqtl|platform,,2025,PPR,,10.1101/2025.11.21.689764,"{'publisher': 'bioRxiv', 'yearOfPublication': 2025}",Multi-omics Integration with GWAS Unveils Molecular Mechanistic Insights for Type 2 Diabetes,"Abbas M, Toh H, Martin PM, Lindsey ML, Melese MT, Oteng A, Gaye A.",2025-11-24,"<h4>ABSTRACT</h4>  <h4>Background</h4>  Type 2 diabetes (T2D) is a complex metabolic disorder driven by genetic and environmental factors. While genome-wide association studies (GWAS) have identified numerous T2D-associated variants, many remain functionally uncharacterized. Integration of GWAS with molecular phenotyping offers a path to revealing biological relevance. We investigated the influence of GWAS-variants, including sub-threshold T2D-associated variants (GWAS p-value ≤ 0.0001), on gene and protein expression to assign functional relevance. <h4>Methods</h4>  Genetic variants associate"
17,likely_primary,prot:title|gwas:title|denovo-pqtl,,2026,MED,41160873,10.1093/nar/gkaf1058,Nucleic acids research,"ProteoNexus: an integrative database to characterize genetic architecture, estimate mediation effects, and construct and evaluate prediction models of the plasma proteome.","Shao K, Luo Z, Huang P, Yang S.",2026-01-01,"Proteins are biological effectors that mediate the effects of exposures on diseases and serve as predictors for constructing high-performance disease prediction models. However, an integrative, sex-specific proteomic resource using a biobank-scale dataset remains unavailable. Here, we introduce ProteoNexus, a database featuring a standardized best-practice pipeline integrating protein pQTLs mapping, mediation analysis, and risk prediction. Following stringent quality control, ProteoNexus comprises three categories of exposures: 129 measurement-based variables, 54 environmental variables, 1 251"
17,likely_primary,prot:title|gwas:title|denovo-pqtl,,2025,PPR,,10.1101/2025.11.07.686776,"{'publisher': 'bioRxiv', 'yearOfPublication': 2025}",Systematic comparison of colocalization methods using protein quantitative trait loci,"Hwang S, Pullin J, Wallace C, Whittaker J, Burgess S.",2025-11-07,"Colocalization is frequently performed as a step to triage findings from genetic investigations linking molecular and disease data. However, the reliability and consistency of the various colocalization methods is not well understood. In particular, it is unclear whether a non-colocalization result should be taken as a definitive sign that two traits do not share a genetic cause in the region of interest, or merely as suggestive evidence. We use protein QTL data to benchmark four colocalization methods (coloc, coloc-SuSiE, prop-coloc, and colocPropTest), considering whether the methods conclud"
